node,FEEDER_REGA,FEEDER_REGB,FEEDER_REGC,VREG2_A,VREG2_B,VREG2_C,VREG3_A,VREG3_B,VREG3_C,VREG4_A,VREG4_B,VREG4_C
l2673322.2,0.0,13.312102859034026,0.0,0.0,6.278300452451024,0.0,0.0,8.784542252425043,0.0,0.0,0.0,0.0
l2673309.3,0.0,0.0,9.79861487378452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3012911876866413
l2804270.2,0.0,7.868015896862265,0.0,0.0,0.0,0.0,0.0,3.3404552902532854,0.0,0.0,0.0,0.0
l2935553.2,0.0,12.8834210896579,0.0,0.0,5.8496186830749,0.0,0.0,8.35586048304892,0.0,0.0,0.0,0.0
l2748840.2,0.0,2.8812910760889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3085398.2,0.0,10.476553930268564,0.0,0.0,3.442751523685564,0.0,0.0,5.948993323659582,0.0,0.0,0.0,0.0
l3216367.2,0.0,10.179705332653167,0.0,0.0,3.145902926070168,0.0,0.0,5.652144726044186,0.0,0.0,0.0,0.0
l3254207.1,11.813903146307108,0.0,0.0,4.869300531654673,0.0,0.0,7.348349071648473,0.0,0.0,0.0,0.0,0.0
l2729406.3,0.0,0.0,8.525546746143975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2897768.3,0.0,0.0,8.899078187732835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3649301.1,8.981685563839521,0.0,0.0,2.037082949187092,0.0,0.0,4.516131489180891,0.0,0.0,0.0,0.0,0.0
l3649302.1,9.072260888236292,0.0,0.0,2.1276582735838625,0.0,0.0,4.606706813577662,0.0,0.0,0.0,0.0,0.0
l2822871.2,0.0,9.609215947621282,0.0,0.0,2.575413541038281,0.0,0.0,5.0816553410123,0.0,0.0,0.0,0.0
l2973163.2,0.0,15.998664609221096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.490141274934889,0.0
l3728038.1,9.441975399598302,0.0,0.0,2.49737278494587,0.0,0.0,4.976421324939671,0.0,0.0,0.0,0.0,0.0
l3728039.1,9.555601313159832,0.0,0.0,2.6109986985074003,0.0,0.0,5.090047238501201,0.0,0.0,0.0,0.0,0.0
l3216351.1,12.174688555610109,0.0,0.0,5.230085940957675,0.0,0.0,7.709134480951475,0.0,0.0,0.0,0.0,0.0
l2952007.3,0.0,0.0,6.680330862046521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2861158.3,0.0,0.0,6.923019446968167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2730106.3,0.0,0.0,3.940558314781598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3172805.1,13.301806005895829,0.0,0.0,6.357203391243395,0.0,0.0,8.836251931237195,0.0,0.0,0.0,0.0,0.0
l3048962.1,2.348318926668923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2991914.3,0.0,0.0,8.443266168107172,0.0,0.0,1.5229625482347164,0.0,0.0,3.996766076149658,0.0,0.0,0.0
l2973154.1,11.834364427730112,0.0,0.0,4.889761813077677,0.0,0.0,7.368810353071477,0.0,0.0,0.0,0.0,0.0
l3010565.3,0.0,0.0,8.279105239614914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7817815535170327
l2897775.3,0.0,0.0,8.481376988448208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9840533023503264
l2804269.2,0.0,9.430658186795243,0.0,0.0,0.0,0.0,0.0,4.903097580186267,0.0,0.0,0.0,0.0
l2783231.2,0.0,6.645989061717423,0.0,0.0,0.0,0.0,0.0,2.118428455108444,0.0,0.0,0.0,0.0
l2748143.1,6.763054538657276,0.0,0.0,0.0,0.0,0.0,2.2975004639986425,0.0,0.0,0.0,0.0,0.0
l3251854.1,6.859368813148724,0.0,0.0,0.0,0.0,0.0,2.393814738490091,0.0,0.0,0.0,0.0,0.0
l2935549.2,0.0,11.062672378140766,0.0,0.0,4.028869971557765,0.0,0.0,6.535111771531784,0.0,0.0,0.0,0.0
l3235242.3,0.0,0.0,5.597118683098003,0.0,0.0,0.0,0.0,0.0,1.1506185911404887,0.0,0.0,0.0
l3030199.3,0.0,0.0,2.7725189101615286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2860487.3,0.0,0.0,7.6297413077094784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1324176216115984
l3102286.2,0.0,5.1628841103138665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293471.1,12.306946124619309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.788575778094598,0.0,0.0
293471.2,0.0,12.287505387611342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.778982053325136,0.0
293471.3,0.0,0.0,12.288927080516178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.791603394418296
l3198355.2,0.0,4.078072919922581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2860504.1,12.050838406769492,0.0,0.0,5.106235792117058,0.0,0.0,7.585284332110858,0.0,0.0,0.0,0.0,0.0
l2860493.1,12.350141460422154,0.0,0.0,5.405538845769721,0.0,0.0,7.88458738576352,0.0,0.0,0.0,0.0,0.0
l2935551.3,0.0,0.0,8.108525802392874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2879070.2,0.0,8.44487503374307,0.0,0.0,1.4110726271600704,0.0,0.0,3.917314427134089,0.0,0.0,0.0,0.0
l3216345.2,0.0,8.54267990697312,0.0,0.0,1.5088775003901205,0.0,0.0,4.015119300364139,0.0,0.0,0.0,0.0
l2991919.1,14.241547727071012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.723177380546303,0.0,0.0
l3048227.1,10.209680513506962,0.0,0.0,3.265077898854529,0.0,0.0,5.744126438848328,0.0,0.0,0.0,0.0,0.0
l2785522.2,0.0,14.44778235722436,0.0,0.0,7.413979950641358,0.0,0.0,9.920221750615378,0.0,0.0,0.0,0.0
l3216338.2,0.0,13.99215187451338,0.0,0.0,6.95834946793038,0.0,0.0,9.464591267904396,0.0,0.0,0.0,0.0
l2973146.2,0.0,14.076293383844192,0.0,0.0,7.042490977261195,0.0,0.0,9.54873277723521,0.0,0.0,0.0,0.0
l2973164.1,15.234971664937834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.716601318413126,0.0,0.0
l3120376.1,10.008981821798972,0.0,0.0,3.0643792071465388,0.0,0.0,5.5434277471403375,0.0,0.0,0.0,0.0,0.0
l3141393.3,0.0,0.0,5.956706824402447,0.0,0.0,0.0,0.0,0.0,1.5102067324449333,0.0,0.0,0.0
l3216349.2,0.0,15.339155115502194,0.0,0.0,8.305352708919196,0.0,0.0,10.811594508893211,0.0,0.0,0.0,0.0
l2748132.1,16.625189478935106,0.0,0.0,9.68058686428267,0.0,0.0,12.159635404276468,0.0,0.0,0.0,0.0,0.0
l3122820.1,13.511641070407736,0.0,0.0,6.567038455755307,0.0,0.0,9.046086995749103,0.0,0.0,0.0,0.0,0.0
l3141398.1,13.5969712659321,0.0,0.0,6.652368651279671,0.0,0.0,9.131417191273467,0.0,0.0,0.0,0.0,0.0
l3048968.3,0.0,0.0,6.225595759804068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2766746.3,0.0,0.0,14.72412226768601,0.0,0.0,7.803818647813554,0.0,0.0,10.277622175728496,0.0,0.0,0.0
l2973151.1,8.75999206649898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.241621719974272,0.0,0.0
l3179682.3,0.0,0.0,3.543793014874749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2786274.3,0.0,0.0,3.596971191329966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3066816.1,12.448258951256982,0.0,0.0,5.503656336604547,0.0,0.0,7.982704876598347,0.0,0.0,0.0,0.0,0.0
l2766723.1,12.359997026476847,0.0,0.0,5.415394411824416,0.0,0.0,7.894442951818216,0.0,0.0,0.0,0.0,0.0
l3122822.1,12.46961389485137,0.0,0.0,5.525011280198939,0.0,0.0,8.004059820192738,0.0,0.0,0.0,0.0,0.0
l2673312.1,13.029053567549006,0.0,0.0,6.084450952896574,0.0,0.0,8.563499492890372,0.0,0.0,0.0,0.0,0.0
l3235247.1,13.267847179693767,0.0,0.0,6.323244565041335,0.0,0.0,8.802293105035135,0.0,0.0,0.0,0.0,0.0
l3254873.3,0.0,0.0,5.659355083128455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2861157.3,0.0,0.0,3.63655059581265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2822873.2,0.0,7.871351540500842,0.0,0.0,0.0,0.0,0.0,3.343790933891863,0.0,0.0,0.0,0.0
l2875754.3,0.0,0.0,3.8849905125790873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2786204.3,0.0,0.0,1.5210439555165634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2767340.1,3.50665282478528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2767340.2,0.0,3.553378593780443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2767340.3,0.0,0.0,3.5054650687355235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2710546.2,0.0,14.752765970492629,0.0,0.0,7.718963563909629,0.0,0.0,10.225205363883646,0.0,0.0,0.0,0.0
l2674027.2,0.0,4.445962892692108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2692633.3,0.0,0.0,4.416779232476262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
