mv_node,lv_x_node_1,lv_x_node_2,sx_node_1,sx_node_2
L2804253.1,X2804253A.1,X2804253A.2,SX2804253A.1,SX2804253A.2
L3254213.2,X3254213B.1,X3254213B.2,SX3254213B.1,SX3254213B.2
L3216339.2,X3216339B.1,X3216339B.2,SX3216339B.1,SX3216339B.2
L2954355.1,X2954355A.1,X2954355A.2,SX2954355A.1,SX2954355A.2
L2861197.3,X2861197C.1,X2861197C.2,SX2861197C.1,SX2861197C.2
L2842379.1,X2842379A.1,X2842379A.2,SX2842379A.1,SX2842379A.2
L2841636.2,X2841636B.1,X2841636B.2,SX2841636B.1,SX2841636B.2
L3047289.1,X3047289A.1,X3047289A.2,SX3047289A.1,SX3047289A.2
L3047289.2,X3047289B.1,X3047289B.2,SX3047289B.1,SX3047289B.2
L3047289.3,X3047289C.1,X3047289C.2,SX3047289C.1,SX3047289C.2
L3085399.3,X3085399C.1,X3085399C.2,SX3085399C.1,SX3085399C.2
L3085391.2,X3085391B.1,X3085391B.2,SX3085391B.1,SX3085391B.2
L2897778.1,X2897778A.1,X2897778A.2,SX2897778A.1,SX2897778A.2
L3197647.1,X3197647A.1,X3197647A.2,SX3197647A.1,SX3197647A.2
L2936275.2,X2936275B.1,X2936275B.2,SX2936275B.1,SX2936275B.2
L2729408.2,X2729408B.1,X2729408B.2,SX2729408B.1,SX2729408B.2
L2673310.1,X2673310A.1,X2673310A.2,SX2673310A.1,SX2673310A.2
L3048212.1,X3048212A.1,X3048212A.2,SX3048212A.1,SX3048212A.2
L3104133.1,X3104133A.1,X3104133A.2,SX3104133A.1,SX3104133A.2
L2879087.1,X2879087A.1,X2879087A.2,SX2879087A.1,SX2879087A.2
L2710510.3,X2710510C.1,X2710510C.2,SX2710510C.1,SX2710510C.2
L3122810.2,X3122810B.1,X3122810B.2,SX3122810B.1,SX3122810B.2
L2954352.3,X2954352C.1,X2954352C.2,SX2954352C.1,SX2954352C.2
L2729411.1,X2729411A.1,X2729411A.2,SX2729411A.1,SX2729411A.2
L3178971.1,X3178971A.1,X3178971A.2,SX3178971A.1,SX3178971A.2
L3254234.2,X3254234B.1,X3254234B.2,SX3254234B.1,SX3254234B.2
293471.1,X_293471A.1,X_293471A.2,,
293471.2,X_293471B.1,X_293471B.2,,
293471.3,X_293471C.1,X_293471C.2,,
L2860482.1,X2860482A.1,X2860482A.2,SX2860482A.1,SX2860482A.2
L2763811.3,X2763811C.1,X2763811C.2,SX2763811C.1,SX2763811C.2
L3251799.1,X3251799A.1,X3251799A.2,SX3251799A.1,SX3251799A.2
L2898526.3,X2898526C.1,X2898526C.2,SX2898526C.1,SX2898526C.2
L2897780.2,X2897780B.1,X2897780B.2,SX2897780B.1,SX2897780B.2
