selection_rank,selection_method,bus,node_1,node_2,node_3,electrical_distance_ohm
1,fallback all 3-phase MV buses,m1209797,m1209797.1,m1209797.2,m1209797.3,0.5055756345708482
2,fallback all 3-phase MV buses,m3032980,m3032980.1,m3032980.2,m3032980.3,0.9964532050207624
3,fallback all 3-phase MV buses,m1209774,m1209774.1,m1209774.2,m1209774.3,1.3890415030796828
4,fallback all 3-phase MV buses,l3139366,l3139366.1,l3139366.2,l3139366.3,1.5438324964008328
5,fallback all 3-phase MV buses,e184626,e184626.1,e184626.2,e184626.3,1.7572312783199144
6,fallback all 3-phase MV buses,m1149235,m1149235.1,m1149235.2,m1149235.3,1.8760378021911466
7,fallback all 3-phase MV buses,l3081380,l3081380.1,l3081380.2,l3081380.3,2.135391977740229
8,fallback all 3-phase MV buses,m1142839,m1142839.1,m1142839.2,m1142839.3,2.2525219741098663
9,fallback all 3-phase MV buses,l2674047,l2674047.1,l2674047.2,l2674047.3,2.4554383491548504
10,fallback all 3-phase MV buses,m1142818,m1142818.1,m1142818.2,m1142818.3,2.6589089817105163
11,fallback all 3-phase MV buses,l3214071,l3214071.1,l3214071.2,l3214071.3,2.9138876682191786
12,fallback all 3-phase MV buses,l2917328,l2917328.1,l2917328.2,l2917328.3,3.0958639494566818
13,fallback all 3-phase MV buses,d5958866-1_int,d5958866-1_int.1,d5958866-1_int.2,d5958866-1_int.3,3.263556123806167
14,fallback all 3-phase MV buses,l2955081,l2955081.1,l2955081.2,l2955081.3,3.4200285355413143
15,fallback all 3-phase MV buses,m1125994,m1125994.1,m1125994.2,m1125994.3,3.577844899288578
16,fallback all 3-phase MV buses,m1108298,m1108298.1,m1108298.2,m1108298.3,3.680910040006846
17,fallback all 3-phase MV buses,l2989566,l2989566.1,l2989566.2,l2989566.3,3.885791610027919
18,fallback all 3-phase MV buses,l3142049,l3142049.1,l3142049.2,l3142049.3,4.057292864099144
19,fallback all 3-phase MV buses,m1108505,m1108505.1,m1108505.2,m1108505.3,4.265803188059434
20,fallback all 3-phase MV buses,q14734,q14734.1,q14734.2,q14734.3,4.488712930802264
21,fallback all 3-phase MV buses,p862322,p862322.1,p862322.2,p862322.3,4.770546718013158
22,fallback all 3-phase MV buses,m1089199,m1089199.1,m1089199.2,m1089199.3,5.017892253875657
23,fallback all 3-phase MV buses,l2933164,l2933164.1,l2933164.2,l2933164.3,5.1413587131032275
24,fallback all 3-phase MV buses,l2728247,l2728247.1,l2728247.2,l2728247.3,5.428287812543352
25,fallback all 3-phase MV buses,m1089145,m1089145.1,m1089145.2,m1089145.3,5.546018302652553
26,fallback all 3-phase MV buses,m1089215,m1089215.1,m1089215.2,m1089215.3,5.687856348830188
27,fallback all 3-phase MV buses,m1069499,m1069499.1,m1069499.2,m1069499.3,5.927546510638964
28,fallback all 3-phase MV buses,m1069505,m1069505.1,m1069505.2,m1069505.3,6.043966476503602
29,fallback all 3-phase MV buses,m1069519,m1069519.1,m1069519.2,m1069519.3,6.213851021941061
30,fallback all 3-phase MV buses,l2748144,l2748144.1,l2748144.2,l2748144.3,6.33546124401105
31,fallback all 3-phase MV buses,r42246,r42246.1,r42246.2,r42246.3,6.489311827869911
32,fallback all 3-phase MV buses,m1069556,m1069556.1,m1069556.2,m1069556.3,6.576471543754994
33,fallback all 3-phase MV buses,m1047574,m1047574.1,m1047574.2,m1047574.3,6.931876950662315
34,fallback all 3-phase MV buses,m1047566,m1047566.1,m1047566.2,m1047566.3,7.123870566595094
35,fallback all 3-phase MV buses,m1047521,m1047521.1,m1047521.2,m1047521.3,7.556818892928327
36,fallback all 3-phase MV buses,n1136667,n1136667.1,n1136667.2,n1136667.3,7.750054430014987
37,fallback all 3-phase MV buses,n1144665,n1144665.1,n1144665.2,n1144665.3,7.888877315041195
38,fallback all 3-phase MV buses,l3010556,l3010556.1,l3010556.2,l3010556.3,8.124027675544838
39,fallback all 3-phase MV buses,m3763624,m3763624.1,m3763624.2,m3763624.3,8.298198499658717
40,fallback all 3-phase MV buses,n1140519,n1140519.1,n1140519.2,n1140519.3,8.403974640809116
41,fallback all 3-phase MV buses,m3768670,m3768670.1,m3768670.2,m3768670.3,8.561381606382229
42,fallback all 3-phase MV buses,m1026855,m1026855.1,m1026855.2,m1026855.3,8.753285711908772
43,fallback all 3-phase MV buses,m1026807,m1026807.1,m1026807.2,m1026807.3,8.929459745234976
44,fallback all 3-phase MV buses,m1069154,m1069154.1,m1069154.2,m1069154.3,9.052812409635592
45,fallback all 3-phase MV buses,l3197646,l3197646.1,l3197646.2,l3197646.3,9.281516113587946
46,fallback all 3-phase MV buses,m1047484,m1047484.1,m1047484.2,m1047484.3,9.459552472454396
47,fallback all 3-phase MV buses,m1047720,m1047720.1,m1047720.2,m1047720.3,9.661321871887592
48,fallback all 3-phase MV buses,l3120484,l3120484.1,l3120484.2,l3120484.3,9.825841653001222
49,fallback all 3-phase MV buses,m1026769,m1026769.1,m1026769.2,m1026769.3,9.947819667470819
50,fallback all 3-phase MV buses,d5534970-1_int,d5534970-1_int.1,d5534970-1_int.2,d5534970-1_int.3,10.164829134919394
51,fallback all 3-phase MV buses,m1047732,m1047732.1,m1047732.2,m1047732.3,10.300744989801895
52,fallback all 3-phase MV buses,m1047345,m1047345.1,m1047345.2,m1047345.3,10.467195369416588
53,fallback all 3-phase MV buses,l2925506,l2925506.1,l2925506.2,l2925506.3,10.641573584291523
54,fallback all 3-phase MV buses,l2766749,l2766749.1,l2766749.2,l2766749.3,10.750087910386737
55,fallback all 3-phase MV buses,m1026876,m1026876.1,m1026876.2,m1026876.3,10.879159503112055
56,fallback all 3-phase MV buses,l2729414,l2729414.1,l2729414.2,l2729414.3,11.040850384941118
57,fallback all 3-phase MV buses,l3235255,l3235255.1,l3235255.2,l3235255.3,11.275085907573484
58,fallback all 3-phase MV buses,l2973167,l2973167.1,l2973167.2,l2973167.3,11.402184532439728
59,fallback all 3-phase MV buses,m1047312,m1047312.1,m1047312.2,m1047312.3,11.595739585260818
60,fallback all 3-phase MV buses,m1026950,m1026950.1,m1026950.2,m1026950.3,11.687359419654749
61,fallback all 3-phase MV buses,l3216368,l3216368.1,l3216368.2,l3216368.3,11.819224790580426
62,fallback all 3-phase MV buses,n1140828,n1140828.1,n1140828.2,n1140828.3,11.922321295885737
63,fallback all 3-phase MV buses,m1026697,m1026697.1,m1026697.2,m1026697.3,12.112894300863497
64,fallback all 3-phase MV buses,n1145954,n1145954.1,n1145954.2,n1145954.3,12.253612928761648
65,fallback all 3-phase MV buses,293471,293471.1,293471.2,293471.3,12.34001677340157
66,fallback all 3-phase MV buses,m1047300,m1047300.1,m1047300.2,m1047300.3,12.516653231789553
67,fallback all 3-phase MV buses,l2691952,l2691952.1,l2691952.2,l2691952.3,12.766017675444623
68,fallback all 3-phase MV buses,m1047292,m1047292.1,m1047292.2,m1047292.3,12.99944024392741
69,fallback all 3-phase MV buses,l3122849,l3122849.1,l3122849.2,l3122849.3,13.293141330824701
70,fallback all 3-phase MV buses,m1026356,m1026356.1,m1026356.2,m1026356.3,13.511342983814918
71,fallback all 3-phase MV buses,e203026,e203026.1,e203026.2,e203026.3,14.000200531972695
72,fallback all 3-phase MV buses,m1026328,m1026328.1,m1026328.2,m1026328.3,14.541041999868009
