node,node_idx
l2673322.2,12
l2673309.3,14
l2804270.2,16
l2935553.2,18
l2748840.2,20
l3085398.2,24
l3216367.2,30
l3254207.1,52
l2729406.3,65
l2897768.3,66
l3649301.1,67
l3649302.1,68
l2822871.2,76
l2973163.2,82
l3728038.1,83
l3728039.1,84
l3216351.1,88
l2952007.3,89
l2861158.3,90
l2730106.3,99
l3172805.1,106
l3048962.1,108
l2991914.3,111
l2973154.1,116
l3010565.3,117
l2897775.3,118
l2804269.2,122
l2783231.2,130
l2748143.1,131
l3251854.1,132
l2935549.2,139
l3235242.3,142
l3030199.3,149
l2860487.3,156
l3102286.2,164
293471.1,168
293471.2,169
293471.3,170
l3198355.2,177
l2860504.1,181
l2860493.1,182
l2935551.3,198
l2879070.2,202
l3216345.2,205
l2991919.1,211
l3048227.1,222
l2785522.2,226
l3216338.2,227
l2973146.2,228
l2973164.1,230
l3120376.1,231
l3141393.3,236
l3216349.2,240
l2748132.1,242
l3122820.1,243
l3141398.1,244
l3048968.3,246
l2766746.3,249
l2973151.1,253
l3179682.3,254
l2786274.3,255
l3066816.1,256
l2766723.1,264
l3122822.1,265
l2673312.1,266
l3235247.1,267
l3254873.3,269
l2861157.3,270
l2822873.2,279
l2875754.3,281
l2786204.3,282
l2767340.1,288
l2767340.2,289
l2767340.3,290
l2710546.2,295
l2674027.2,297
l2692633.3,301
l2674051.1,303
l3097861.3,317
l2973153.1,319
l2898515.3,325
l3235250.2,328
l2955081.1,335
l2973162.2,342
l2860479.2,348
l2933135.1,367
l2729414.1,370
l2729414.2,371
l2729414.3,372
l2729430.2,373
l2766742.2,374
l2860483.2,376
l2860490.1,377
l3104134.3,382
l3048208.1,388
l2955047.1,392
l2766721.1,396
l3029183.2,398
l2710512.2,399
l3197645.1,402
l3235253.1,404
l3214071.3,407
l2860480.2,412
l2710517.1,413
l2935547.2,416
l3216336.1,418
l3142049.3,421
l3010556.1,428
l2991933.3,431
l3122837.3,432
l2691936.1,433
l2897772.1,434
l2766732.2,436
l2989564.2,437
l2766726.2,443
l3254237.1,449
l2804262.1,452
l2841639.1,453
l2708744.2,455
l2897790.3,460
l2935566.3,461
l3216337.1,462
l3120503.1,466
l3215385.1,470
l3215385.2,471
l3215385.3,472
l3157708.3,479
l3048205.3,491
l2673317.1,494
l3178981.2,495
l2879794.1,500
l2785536.2,503
l3104114.2,504
l2673308.2,510
l2991939.2,513
l2916606.3,515
l2822864.3,516
l3141397.2,527
l3649299.1,528
l3048887.2,531
l2879072.2,540
l3235244.1,544
l2685805.1,547
l2786273.2,550
l3254238.2,553
l2897554.3,559
l2897791.2,561
l2936214.1,565
l3066810.3,566
l2897769.3,567
l2858166.1,573
l3081380.1,579
l2804272.2,582
l2841641.2,583
l3216348.1,592
l2841627.1,593
l2916599.1,594
l2954349.2,596
l3235246.2,597
l2711224.2,599
l3122817.3,601
l2861223.2,605
l3085396.1,607
l3160865.1,621
l2673323.3,624
l2822869.1,626
l2729410.3,635
l3178978.1,636
l3066805.1,638
l3216358.1,642
l2804259.1,658
l2879767.2,671
l3066809.3,672
l2954338.2,687
l2841648.1,689
l2954347.2,692
l3027124.3,694
l2691948.2,706
l2710542.2,711
l2917330.1,722
l2861222.1,723
l2878848.3,731
l3177665.1,735
l2805036.2,736
l2692654.1,737
l3141400.1,760
l3048210.1,766
l3214055.3,771
l2936279.3,777
l2841634.2,779
l3010570.1,787
l2879061.2,796
l2891575.3,799
l2897793.1,802
l3197637.3,807
l3197635.2,808
l2804257.2,809
l2860485.2,810
l3235945.3,811
l2842330.3,812
l2804254.1,813
l2710509.3,821
l2763072.2,822
l3010560.2,831
l3254219.3,833
l3254220.3,834
l2691951.3,840
l2841636.2,844
l2990826.1,845
l2990826.2,846
l2990826.3,847
l2911069.2,848
l2948732.2,849
l2876797.1,855
l3254227.2,861
l3217052.3,863
l2822861.1,865
l2935554.1,886
l2766750.3,892
l3649300.1,893
l3066804.1,895
l2691943.2,897
l3085388.2,902
l3233413.2,903
l3122827.1,904
l2954355.1,905
l2952003.2,909
l3008237.3,912
l3141399.3,923
l3067507.3,932
l2692664.3,936
l2823544.1,937
l2973155.1,946
l3216346.1,955
l2858163.1,956
l2973149.2,958
l3086079.2,959
l2710530.2,961
l2879074.1,966
l3027116.1,973
l2929261.1,976
l2973156.2,981
l2691945.3,986
l2989566.2,1013
l2972704.3,1022
l3263051.3,1023
l2897776.3,1025
l2767414.3,1034
l3066826.2,1039
l2730187.1,1041
l3122825.1,1042
l2991920.1,1043
l3122826.1,1050
l3142078.2,1052
l2879752.2,1053
l3122815.2,1063
l2724120.3,1064
l2729429.1,1066
l3215549.2,1067
l2897800.2,1068
l2860481.3,1070
l3195315.1,1082
l2897765.2,1086
l2876814.1,1089
l2897780.2,1114
l2711226.2,1120
l3101789.1,1122
l2841616.1,1123
l2879062.3,1125
l3157718.1,1129
l2691944.1,1132
