node,bus,phase,electrical_distance_ohm,reachable
sourcebus.1,sourcebus,1,nan,False
sourcebus.2,sourcebus,2,nan,False
sourcebus.3,sourcebus,3,nan,False
_hvmv_sub_lsb.1,_hvmv_sub_lsb,1,0.0,True
_hvmv_sub_lsb.2,_hvmv_sub_lsb,2,0.0,True
_hvmv_sub_lsb.3,_hvmv_sub_lsb,3,0.0,True
hvmv_sub_48332.1,hvmv_sub_48332,1,1.0049875621120892e-05,True
hvmv_sub_48332.2,hvmv_sub_48332,2,1.0049875621120892e-05,True
hvmv_sub_48332.3,hvmv_sub_48332,3,1.0049875621120892e-05,True
m1009763.2,m1009763,2,13.265049971792982,True
m1009763.1,m1009763,1,13.173636345373785,True
m1009763.3,m1009763,3,13.145696072728963,True
l2673322.2,l2673322,2,13.326755789196646,True
m1069148.3,m1069148,3,9.623704051173856,True
l2673309.3,l2673309,3,9.829355659425422,True
m1069588.2,m1069588,2,7.880508265848364,True
l2804270.2,l2804270,2,7.902459854701887,True
m3036164.2,m3036164,2,12.844181187371872,True
l2935553.2,l2935553,2,12.935758420362914,True
m1209749.2,m1209749,2,2.661769833906143,True
l2748840.2,l2748840,2,2.953604144815932,True
m1108264.2,m1108264,2,12.120672276927522,True
m1108263.2,m1108263,2,12.31255951015282,True
l3085398.1,l3085398,1,10.395198012530658,True
l3085398.2,l3085398,2,10.491195791522227,True
l3085398.3,l3085398,3,10.365810485767167,True
m1026891.1,m1026891,1,10.55992126406153,True
m1026891.2,m1026891,2,10.655653935506756,True
m1026891.3,m1026891,3,10.530617495092667,True
l3216367.1,l3216367,1,10.123522763452131,True
l3216367.2,l3216367,2,10.216254123463097,True
l3216367.3,l3216367,3,10.095124846255628,True
m1069468.1,m1069468,1,10.168694177353514,True
m1069468.2,m1069468,2,10.261538351787996,True
m1069468.3,m1069468,3,10.14026276595199,True
m1142800.2,m1142800,2,4.527360858148902,True
m1142799.2,m1142799,2,4.661374036427919,True
m1047592.3,m1047592,3,8.184774113330416,True
m1047592.1,m1047592,1,8.21267910210871,True
m1047592.2,m1047592,2,8.303672303744243,True
p827512.3,p827512,3,8.191785814583978,True
m1047339.1,m1047339,1,10.694549025391337,True
m1047339.2,m1047339,2,10.7347856395707,True
m1047339.3,m1047339,3,10.68228431979617,True
p895104.1,p895104,1,10.708823739715804,True
m1026915.1,m1026915,1,10.429778106205902,True
