node,node_idx
sourcebus.1,0
sourcebus.2,1
sourcebus.3,2
_hvmv_sub_lsb.1,3
_hvmv_sub_lsb.2,4
_hvmv_sub_lsb.3,5
hvmv_sub_48332.1,6
hvmv_sub_48332.2,7
hvmv_sub_48332.3,8
m1009763.2,9
m1009763.1,10
m1009763.3,11
l2673322.2,12
m1069148.3,13
l2673309.3,14
m1069588.2,15
l2804270.2,16
m3036164.2,17
l2935553.2,18
m1209749.2,19
l2748840.2,20
m1108264.2,21
m1108263.2,22
l3085398.1,23
l3085398.2,24
l3085398.3,25
m1026891.1,26
m1026891.2,27
m1026891.3,28
l3216367.1,29
l3216367.2,30
l3216367.3,31
m1069468.1,32
m1069468.2,33
m1069468.3,34
m1142800.2,35
m1142799.2,36
m1047592.3,37
m1047592.1,38
m1047592.2,39
p827512.3,40
m1047339.1,41
m1047339.2,42
m1047339.3,43
p895104.1,44
m1026915.1,45
m1026915.2,46
m1026915.3,47
m1026920.1,48
m1026920.2,49
m1026920.3,50
n1138596.1,51
l3254207.1,52
m1069464.2,53
m1069464.1,54
m1069464.3,55
p873787.2,56
n1144665.1,57
n1144665.2,58
n1144665.3,59
m1047515.1,60
m1047515.2,61
m1047515.3,62
n1137002.1,63
m1047707.1,64
l2729406.3,65
l2897768.3,66
l3649301.1,67
l3649302.1,68
l2970842.2,69
m1089113.2,70
m1047312.1,71
m1047312.2,72
m1047312.3,73
p893163.1,74
l2822871.1,75
l2822871.2,76
l2822871.3,77
m1026872.1,78
m1026872.2,79
m1026872.3,80
m1026312.2,81
l2973163.2,82
l3728038.1,83
l3728039.1,84
m1069567.2,85
m1069582.2,86
n1140830.1,87
l3216351.1,88
l2952007.3,89
l2861158.3,90
n1140827.1,91
n1140827.2,92
n1140827.3,93
m1026726.1,94
m1026726.2,95
m1026726.3,96
l2730106.1,97
l2730106.2,98
l2730106.3,99
n1142099.1,100
n1142099.2,101
n1142099.3,102
m1026658.1,103
m1026658.2,104
m1026658.3,105
l3172805.1,106
p895112.1,107
l3048962.1,108
l2991914.1,109
l2991914.2,110
l2991914.3,111
m1047503.1,112
m1047503.2,113
m1047503.3,114
m1047751.1,115
l2973154.1,116
l3010565.3,117
l2897775.3,118
m1125955.3,119
m1125957.3,120
m1069640.2,121
l2804269.2,122
m1026702.1,123
m1026702.2,124
m1026702.3,125
n1139551.1,126
n1139551.2,127
n1139551.3,128
n1136355.2,129
l2783231.2,130
