node_idx,bus
66,l2897768
67,l3649301
68,l3649302
84,l3728039
90,l2861158
118,l2897775
131,l2748143
132,l3251854
182,l2860493
228,l2973146
243,l3122820
244,l3141398
255,l2786274
264,l2766723
265,l3122822
266,l2673312
267,l3235247
373,l2729430
432,l3122837
437,l2989564
461,l2935566
513,l2991939
515,l2916606
516,l2822864
527,l3141397
567,l2897769
583,l2841641
593,l2841627
597,l3235246
723,l2861222
810,l2860485
812,l2842330
834,l3254220
849,l2948732
956,l2858163
1022,l2972704
1043,l2991920
1053,l2879752
1067,l3215549
1123,l2841616
1132,l2691944
1194,l3176661
1195,l2970804
1301,l3160862
1302,l3104850
1371,l2785511
1391,l3065750
1483,l2785538
1495,l2879069
1497,l2692600
1499,l2673318
1504,l3085403
1566,l2804957
1567,l3048937
1592,l2748780
1651,l3649304
1654,l2729401
1656,l2954348
1658,l2841622
1726,l3728043
1731,l2897807
1739,l2798067
1752,l3048222
1776,l3029520
1794,l3085399
1803,l2766719
1831,l3252336
1966,l2673320
1978,l3729298
1979,l3727707
1981,l2897805
1996,l2785523
1997,l3141388
2041,l2763812
2042,l2951995
2068,l3122848
2084,l2767343
2117,l2897767
2125,l2860478
2126,l2822858
2129,l3727710
2163,l2804261
2164,l3178980
2180,l3778577
2220,l2729409
2221,l2841624
2249,l3189190
2259,l2804283
2260,l2916627
2307,l2822868
2313,l2673310
2349,l2691941
2401,l3139598
2406,l3141412
2414,l3197628
2418,l2842329
2435,l2937757
2436,l3067448
2453,l3197631
2454,l2748127
2463,l2991940
2482,l2841623
2485,l3178973
2514,l3728040
2515,l3728041
2522,l3104128
2536,l2973161
2573,l3197633
2587,l2917336
2592,l3214112
2594,l2973144
2649,l3104145
2653,l3649298
2656,l2766725
2669,l3104121
2670,l3104113
2688,l3160105
2689,l3235251
2711,l2935567
2737,l3048209
2765,l3066830
2777,l3727712
2779,l3198358
2830,l2879067
2845,l2730108
2877,l3030200
2881,l2879054
2902,l3101194
2903,l2862616
2910,l2991910
2912,l2785531
2946,l2673303
3002,l3104154
3008,l3010566
3063,l2916609
3077,l3085390
3088,l3066829
3089,l2879063
3113,l2729434
3130,l2748126
3135,l3160896
3155,l3139103
3172,l3254212
3197,l3122813
3209,l3066808
3289,l2879071
3290,l3029504
3308,l2710544
3313,l3029510
3332,l3030203
3344,l3048201
3367,l2860492
3404,l2763407
3424,l2860501
3432,l2766729
3504,l2673314
3506,l2897773
3525,l2785515
3566,l3104122
3592,l2954352
3607,l2766717
3610,l3254204
3629,l2859391
3636,l2767407
3656,l2936276
3657,l2860499
3663,l2673321
3672,l2745799
3686,l2916618
3691,l3141395
3707,l2955076
3710,l3235245
3718,l3195310
3723,l3254215
3737,l3197660
3739,l2822860
3740,l3101787
3741,l3027132
3742,l3179673
3747,l3254208
3759,l3649305
3760,l2983432
3768,l2860477
3773,l3066806
3784,l3048214
