Regulator,terminal_1 node,terminal_2 node
FEEDER_REGA,regxfmr_HVMV_Sub_LSB.1,_HVMV_Sub_LSB.1
FEEDER_REGB,regxfmr_HVMV_Sub_LSB.2,_HVMV_Sub_LSB.2
FEEDER_REGC,regxfmr_HVMV_Sub_LSB.3,_HVMV_Sub_LSB.3
VREG2_A,regxfmr_190-8593.1,190-8593.1
VREG2_B,regxfmr_190-8593.2,190-8593.2
VREG2_C,regxfmr_190-8593.3,190-8593.3
VREG3_A,regxfmr_190-8581.1,190-8581.1
VREG3_B,regxfmr_190-8581.2,190-8581.2
VREG3_C,regxfmr_190-8581.3,190-8581.3
VREG4_A,regxfmr_190-7361.1,190-7361.1
VREG4_B,regxfmr_190-7361.2,190-7361.2
VREG4_C,regxfmr_190-7361.3,190-7361.3
