from_node,to_node,from_bus,to_bus,phase,line_name,linecode,nph_line,length,R_per_len,X_per_len,C_per_len,R_full,X_full,C_full,u_idx,v_idx,from_base_kv,to_base_kv,length_unit
_hvmv_sub_lsb.1,hvmv_sub_48332.1,_hvmv_sub_lsb,hvmv_sub_48332,1,Line.hvmv_sub_connector,,3,0.001,0.001,0.01,0.0,1e-06,1e-05,0.0,0,3,7.199557856794634,7.199557856794634,none_or_default
hvmv_sub_48332.1,_hvmv_sub_lsb.1,hvmv_sub_48332,_hvmv_sub_lsb,1,Line.hvmv_sub_connector,,3,0.001,0.001,0.01,0.0,1e-06,1e-05,0.0,3,0,7.199557856794634,7.199557856794634,none_or_default
_hvmv_sub_lsb.2,hvmv_sub_48332.2,_hvmv_sub_lsb,hvmv_sub_48332,2,Line.hvmv_sub_connector,,3,0.001,0.001,0.01,0.0,1e-06,1e-05,0.0,1,4,7.199557856794634,7.199557856794634,none_or_default
hvmv_sub_48332.2,_hvmv_sub_lsb.2,hvmv_sub_48332,_hvmv_sub_lsb,2,Line.hvmv_sub_connector,,3,0.001,0.001,0.01,0.0,1e-06,1e-05,0.0,4,1,7.199557856794634,7.199557856794634,none_or_default
_hvmv_sub_lsb.3,hvmv_sub_48332.3,_hvmv_sub_lsb,hvmv_sub_48332,3,Line.hvmv_sub_connector,,3,0.001,0.001,0.01,0.0,1e-06,1e-05,0.0,2,5,7.199557856794634,7.199557856794634,none_or_default
hvmv_sub_48332.3,_hvmv_sub_lsb.3,hvmv_sub_48332,_hvmv_sub_lsb,3,Line.hvmv_sub_connector,,3,0.001,0.001,0.01,0.0,1e-06,1e-05,0.0,5,2,7.199557856794634,7.199557856794634,none_or_default
m1009763.2,l2673322.2,m1009763,l2673322,2,Line.ln5502549-1,1ph-x4_acsrx4_acsr,1,0.032175613,1.67466,0.93456,6.32285,0.05388321206658,0.030070040885279998,0.20344157465704998,6,9,7.199557856794634,7.199557856794634,km
l2673322.2,m1009763.2,l2673322,m1009763,2,Line.ln5502549-1,1ph-x4_acsrx4_acsr,1,0.032175613,1.67466,0.93456,6.32285,0.05388321206658,0.030070040885279998,0.20344157465704998,9,6,7.199557856794634,7.199557856794634,km
m1069148.3,l2673309.3,m1069148,l2673309,3,Line.ln6259988-1,1ph-xx4_acsr4_acsr,1,0.10723408,1.67466,0.93456,6.32285,0.17958062441279998,0.10021668180479999,0.6780250027279999,10,11,7.199557856794634,7.199557856794634,km
l2673309.3,m1069148.3,l2673309,m1069148,3,Line.ln6259988-1,1ph-xx4_acsr4_acsr,1,0.10723408,1.67466,0.93456,6.32285,0.17958062441279998,0.10021668180479999,0.6780250027279999,11,10,7.199557856794634,7.199557856794634,km
m1069588.2,l2804270.2,m1069588,l2804270,2,Line.ln6077796-1,1ph-x4_acsrx4_acsr,1,0.011446341,1.67466,0.93456,6.32285,0.01916872941906,0.01069729244496,0.07237349719185,12,13,7.199557856794634,7.199557856794634,km
l2804270.2,m1069588.2,l2804270,m1069588,2,Line.ln6077796-1,1ph-x4_acsrx4_acsr,1,0.011446341,1.67466,0.93456,6.32285,0.01916872941906,0.01069729244496,0.07237349719185,13,12,7.199557856794634,7.199557856794634,km
m3036164.2,l2935553.2,m3036164,l2935553,2,Line.ln5835135-2,1ph-x4_acsrx4_acsr,1,0.047751634,1.67466,0.93456,6.32285,0.07996775139444,0.04462676707104,0.3019264190369,14,15,7.199557856794634,7.199557856794634,km
l2935553.2,m3036164.2,l2935553,m3036164,2,Line.ln5835135-2,1ph-x4_acsrx4_acsr,1,0.047751634,1.67466,0.93456,6.32285,0.07996775139444,0.04462676707104,0.3019264190369,15,14,7.199557856794634,7.199557856794634,km
m1209749.2,l2748840.2,m1209749,l2748840,2,Line.ln5896826-1,1ph-x2_acsrx2_acsr,1,0.20318135,1.1223,0.896365,6.495819999999999,0.22803042910500002,0.18212465079275,1.3198294769569998,16,17,7.199557856794634,7.199557856794634,km
l2748840.2,m1209749.2,l2748840,m1209749,2,Line.ln5896826-1,1ph-x2_acsrx2_acsr,1,0.20318135,1.1223,0.896365,6.495819999999999,0.22803042910500002,0.18212465079275,1.3198294769569998,17,16,7.199557856794634,7.199557856794634,km
m1108264.2,m1108263.2,m1108264,m1108263,2,Line.ln5714038-1,1ph-x4_acsrx4_wpal,1,0.099994301,1.67723,0.932411,6.32285,0.16771344146623,0.093235786189711,0.63224896607785,18,19,7.199557856794634,7.199557856794634,km
m1108263.2,m1108264.2,m1108263,m1108264,2,Line.ln5714038-1,1ph-x4_acsrx4_wpal,1,0.099994301,1.67723,0.932411,6.32285,0.16771344146623,0.093235786189711,0.63224896607785,19,18,7.199557856794634,7.199557856794634,km
l3085398.1,m1026891.1,l3085398,m1026891,1,Line.ln5653457-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.085708298,1.6834,0.9273,7.600980000000001,0.14428134885320001,0.0794773047354,0.65146705893204,20,23,7.199557856794634,7.199557856794634,km
m1026891.1,l3085398.1,m1026891,l3085398,1,Line.ln5653457-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.085708298,1.6834,0.9273,7.600980000000001,0.14428134885320001,0.0794773047354,0.65146705893204,23,20,7.199557856794634,7.199557856794634,km
l3085398.2,m1026891.2,l3085398,m1026891,2,Line.ln5653457-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.085708298,1.67686,0.932728,7.88811,0.14372081658428001,0.079942529376944,0.67607648253678,21,24,7.199557856794634,7.199557856794634,km
m1026891.2,l3085398.2,m1026891,l3085398,2,Line.ln5653457-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.085708298,1.67686,0.932728,7.88811,0.14372081658428001,0.079942529376944,0.67607648253678,24,21,7.199557856794634,7.199557856794634,km
l3085398.3,m1026891.3,l3085398,m1026891,3,Line.ln5653457-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.085708298,1.68543,0.925637,7.78037,0.14445533669814,0.079334771835826,0.66684227051026,22,25,7.199557856794634,7.199557856794634,km
m1026891.3,l3085398.3,m1026891,l3085398,3,Line.ln5653457-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.085708298,1.68543,0.925637,7.78037,0.14445533669814,0.079334771835826,0.66684227051026,25,22,7.199557856794634,7.199557856794634,km
l3216367.1,m1069468.1,l3216367,m1069468,1,Line.ln5835173-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.04134682,0.66087,0.869947,8.3452,0.027324872933399996,0.03596954201854,0.345047482264,26,29,7.199557856794634,7.199557856794634,km
m1069468.1,l3216367.1,m1069468,l3216367,1,Line.ln5835173-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.04134682,0.66087,0.869947,8.3452,0.027324872933399996,0.03596954201854,0.345047482264,29,26,7.199557856794634,7.199557856794634,km
l3216367.2,m1069468.2,l3216367,m1069468,2,Line.ln5835173-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.04134682,0.653999,0.878528,8.72099,0.02704077893318,0.03632433908096,0.36058520375180003,27,30,7.199557856794634,7.199557856794634,km
m1069468.2,l3216367.2,m1069468,l3216367,2,Line.ln5835173-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.04134682,0.653999,0.878528,8.72099,0.02704077893318,0.03632433908096,0.36058520375180003,30,27,7.199557856794634,7.199557856794634,km
l3216367.3,m1069468.3,l3216367,m1069468,3,Line.ln5835173-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.04134682,0.663007,0.8673,8.57671,0.02741323108774,0.035860096986,0.3546196845622,28,31,7.199557856794634,7.199557856794634,km
m1069468.3,l3216367.3,m1069468,l3216367,3,Line.ln5835173-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.04134682,0.663007,0.8673,8.57671,0.02741323108774,0.035860096986,0.3546196845622,31,28,7.199557856794634,7.199557856794634,km
m1142800.2,m1142799.2,m1142800,m1142799,2,Line.ln6321415-1,1ph-x2_acsrx2_acsr,1,0.093302869,1.1223,0.896365,6.495819999999999,0.1047138098787,0.083633426171185,0.6060786425075799,32,33,7.199557856794634,7.199557856794634,km
m1142799.2,m1142800.2,m1142799,m1142800,2,Line.ln6321415-1,1ph-x2_acsrx2_acsr,1,0.093302869,1.1223,0.896365,6.495819999999999,0.1047138098787,0.083633426171185,0.6060786425075799,33,32,7.199557856794634,7.199557856794634,km
m1047592.3,p827512.3,m1047592,p827512,3,Line.ln5565092-1,1ph-xx4_acsr4_acsr,1,0.003656151,1.67466,0.93456,6.32285,0.00612280983366,0.0034168924785599997,0.02311729435035,34,37,7.199557856794634,7.199557856794634,km
p827512.3,m1047592.3,p827512,m1047592,3,Line.ln5565092-1,1ph-xx4_acsr4_acsr,1,0.003656151,1.67466,0.93456,6.32285,0.00612280983366,0.0034168924785599997,0.02311729435035,37,34,7.199557856794634,7.199557856794634,km
m1047339.1,p895104.1,m1047339,p895104,1,Line.ln6073648-1,1ph-4_wpalxx2_wpal,1,0.007739728,1.63092,0.861221,6.32285,0.01262287718976,0.006665616287888001,0.0489371391848,38,41,7.199557856794634,7.199557856794634,km
p895104.1,m1047339.1,p895104,m1047339,1,Line.ln6073648-1,1ph-4_wpalxx2_wpal,1,0.007739728,1.63092,0.861221,6.32285,0.01262287718976,0.006665616287888001,0.0489371391848,41,38,7.199557856794634,7.199557856794634,km
m1026915.1,m1026920.1,m1026915,m1026920,1,Line.ln5774457-1,3ph_h-4_acsr2_acsr2_acsr4_wpal,3,0.04084655,1.68626,0.924966,7.630179999999999,0.06887790340300001,0.0377816699673,0.311666528879,42,45,7.199557856794634,7.199557856794634,km
m1026920.1,m1026915.1,m1026920,m1026915,1,Line.ln5774457-1,3ph_h-4_acsr2_acsr2_acsr4_wpal,3,0.04084655,1.68626,0.924966,7.630179999999999,0.06887790340300001,0.0377816699673,0.311666528879,45,42,7.199557856794634,7.199557856794634,km
m1026915.2,m1026920.2,m1026915,m1026920,2,Line.ln5774457-1,3ph_h-4_acsr2_acsr2_acsr4_wpal,3,0.04084655,1.12824,0.933765,8.18434,0.046084711571999996,0.03814107876075,0.33430205302700006,43,46,7.199557856794634,7.199557856794634,km
m1026920.2,m1026915.2,m1026920,m1026915,2,Line.ln5774457-1,3ph_h-4_acsr2_acsr2_acsr4_wpal,3,0.04084655,1.12824,0.933765,8.18434,0.046084711571999996,0.03814107876075,0.33430205302700006,46,43,7.199557856794634,7.199557856794634,km
m1026915.3,m1026920.3,m1026915,m1026920,3,Line.ln5774457-1,3ph_h-4_acsr2_acsr2_acsr4_wpal,3,0.04084655,1.1371,0.926495,8.06911,0.046446612005000006,0.03784412434225,0.32959530507050006,44,47,7.199557856794634,7.199557856794634,km
m1026920.3,m1026915.3,m1026920,m1026915,3,Line.ln5774457-1,3ph_h-4_acsr2_acsr2_acsr4_wpal,3,0.04084655,1.1371,0.926495,8.06911,0.046446612005000006,0.03784412434225,0.32959530507050006,47,44,7.199557856794634,7.199557856794634,km
n1138596.1,l3254207.1,n1138596,l3254207,1,Line.ln5534966-3,1ph-4_acsrxx4_acsr,1,0.024491351,1.67466,0.93456,6.32285,0.041014685865660004,0.02288863699056,0.15485513867035,48,49,7.199557856794634,7.199557856794634,km
l3254207.1,n1138596.1,l3254207,n1138596,1,Line.ln5534966-3,1ph-4_acsrxx4_acsr,1,0.024491351,1.67466,0.93456,6.32285,0.041014685865660004,0.02288863699056,0.15485513867035,49,48,7.199557856794634,7.199557856794634,km
m1069464.2,p873787.2,m1069464,p873787,2,Line.ln5859996-1,1ph-x2_acsrx2_acsr,1,0.006235546,1.1223,0.896365,6.495819999999999,0.0069981532758,0.00558932519029,0.04050498441771999,50,53,7.199557856794634,7.199557856794634,km
p873787.2,m1069464.2,p873787,m1069464,2,Line.ln5859996-1,1ph-x2_acsrx2_acsr,1,0.006235546,1.1223,0.896365,6.495819999999999,0.0069981532758,0.00558932519029,0.04050498441771999,53,50,7.199557856794634,7.199557856794634,km
n1144665.1,m1047515.1,n1144665,m1047515,1,Line.ln6138610-2,3ph_h-4_acsr4_acsr4_acsr4_wpal,3,0.02738852,1.68626,0.924966,7.600980000000001,0.046184165735200004,0.025333449790319998,0.20817959274960002,54,57,7.199557856794634,7.199557856794634,km
m1047515.1,n1144665.1,m1047515,n1144665,1,Line.ln6138610-2,3ph_h-4_acsr4_acsr4_acsr4_wpal,3,0.02738852,1.68626,0.924966,7.600980000000001,0.046184165735200004,0.025333449790319998,0.20817959274960002,57,54,7.199557856794634,7.199557856794634,km
n1144665.2,m1047515.2,n1144665,m1047515,2,Line.ln6138610-2,3ph_h-4_acsr4_acsr4_acsr4_wpal,3,0.02738852,1.6795,0.930531,7.88811,0.04599901934,0.02548586690412,0.2160436584972,55,58,7.199557856794634,7.199557856794634,km
m1047515.2,n1144665.2,m1047515,n1144665,2,Line.ln6138610-2,3ph_h-4_acsr4_acsr4_acsr4_wpal,3,0.02738852,1.6795,0.930531,7.88811,0.04599901934,0.02548586690412,0.2160436584972,58,55,7.199557856794634,7.199557856794634,km
n1144665.3,m1047515.3,n1144665,m1047515,3,Line.ln6138610-2,3ph_h-4_acsr4_acsr4_acsr4_wpal,3,0.02738852,1.68836,0.923261,7.78037,0.0462416816272,0.02528675236372,0.2130928193524,56,59,7.199557856794634,7.199557856794634,km
m1047515.3,n1144665.3,m1047515,n1144665,3,Line.ln6138610-2,3ph_h-4_acsr4_acsr4_acsr4_wpal,3,0.02738852,1.68836,0.923261,7.78037,0.0462416816272,0.02528675236372,0.2130928193524,59,56,7.199557856794634,7.199557856794634,km
n1137002.1,m1047707.1,n1137002,m1047707,1,Line.ln6258435-3,1ph-2_acsrxx2_acsr,1,0.092480965,1.1223,0.896365,6.495819999999999,0.10379138701950001,0.08289670019222499,0.6007397020662999,60,61,7.199557856794634,7.199557856794634,km
m1047707.1,n1137002.1,m1047707,n1137002,1,Line.ln6258435-3,1ph-2_acsrxx2_acsr,1,0.092480965,1.1223,0.896365,6.495819999999999,0.10379138701950001,0.08289670019222499,0.6007397020662999,61,60,7.199557856794634,7.199557856794634,km
l2729406.3,l2897768.3,l2729406,l2897768,3,Line.ln5804790-1,1ph-xx4_acsr4_acsr,1,0.19477261,1.67466,0.93456,6.32285,0.32617789906260003,0.1820266904016,1.2315179971385,62,63,7.199557856794634,7.199557856794634,km
