node,mae_pu,rmse_pu,n_valid
l2823592.1,1.0498124361038208,1.0498160123825073,288
l2801909.3,1.0492150783538818,1.049217939376831,288
l2936270.1,1.047485113143921,1.0474903583526611,288
l3086078.1,1.04744553565979,1.0474507808685303,288
l3217057.1,1.04736328125,1.0473685264587402,288
l3217056.1,1.0473448038101196,1.0473501682281494,288
l2936268.3,1.046520709991455,1.0465240478515625,288
l3008237.3,1.0464624166488647,1.0464683771133423,288
l2729423.3,1.0464507341384888,1.0464566946029663,288
l2935566.3,1.0464277267456055,1.0464338064193726,288
l2897790.3,1.0464210510253906,1.0464270114898682,288
l3160863.3,1.046225905418396,1.0462288856506348,288
l2916620.3,1.0457698106765747,1.0457764863967896,288
l2766738.3,1.0457152128219604,1.0457215309143066,288
l3123509.3,1.0454678535461426,1.0454715490341187,288
l3011293.3,1.0454020500183105,1.0454058647155762,288
l3231255.3,1.0449541807174683,1.0449601411819458,288
l3118855.3,1.0449014902114868,1.0449074506759644,288
l3235242.3,1.0447598695755005,1.044765830039978,288
l3141393.3,1.0447278022766113,1.044734001159668,288
l2692633.3,1.0447237491607666,1.0447336435317993,288
l2730108.3,1.044705867767334,1.0447090864181519,288
l3234149.3,1.0445826053619385,1.044586181640625,288
l2823611.1,1.0445268154144287,1.0445350408554077,288
l3104830.3,1.04446542263031,1.0444748401641846,288
l3142049.3,1.0443617105484009,1.0443710088729858,288
l3030205.3,1.04433274269104,1.044337272644043,288
l3048966.3,1.0442829132080078,1.0442878007888794,288
l2786204.3,1.0442732572555542,1.0442763566970825,288
l3067506.3,1.044263243675232,1.0442678928375244,288
l2898515.3,1.044230341911316,1.0442352294921875,288
l2730106.3,1.0442148447036743,1.0442240238189697,288
l3048946.3,1.0441919565200806,1.0441967248916626,288
l3198347.3,1.044187307357788,1.0441921949386597,288
l2936276.2,1.044109582901001,1.04411780834198,288
l2936213.2,1.0440438985824585,1.044049620628357,288
l3141394.2,1.0440295934677124,1.0440351963043213,288
l2730149.3,1.0439444780349731,1.0439528226852417,288
l3179674.2,1.0439085960388184,1.0439170598983765,288
l3086079.2,1.043839693069458,1.0438475608825684,288
l3142099.2,1.0437836647033691,1.0437920093536377,288
l3086075.2,1.0437564849853516,1.0437650680541992,288
l3030204.1,1.0437555313110352,1.0437644720077515,288
l2748840.2,1.0437480211257935,1.0437564849853516,288
l2767340.3,1.0437391996383667,1.0437476634979248,288
l2804277.3,1.0437119007110596,1.0437175035476685,288
l3197625.3,1.043711543083191,1.0437171459197998,288
l2936216.3,1.0437045097351074,1.0437077283859253,288
l2936275.2,1.043700098991394,1.0437079668045044,288
l3097861.3,1.043692708015442,1.0436981916427612,288
l3160793.3,1.043648362159729,1.0436567068099976,288
l2842384.3,1.0435820817947388,1.0435878038406372,288
l2767341.3,1.0435746908187866,1.043582797050476,288
l3254870.3,1.043546199798584,1.043554425239563,288
l3123452.3,1.0435222387313843,1.0435301065444946,288
l3160871.3,1.0435088872909546,1.0435149669647217,288
l3011293.2,1.0435080528259277,1.043515682220459,288
l3030126.3,1.0435019731521606,1.04351007938385,288
l3030203.3,1.0434949398040771,1.0435010194778442,288
l3179673.3,1.0434744358062744,1.0434805154800415,288
l3150961.3,1.043454647064209,1.0434629917144775,288
