node,mae_pu,rmse_pu,n_valid
l2748157.1,0.005156179890036583,0.005827917251735926,288
l2785537.1,0.005152992904186249,0.005824391730129719,288
l3197654.1,0.005151376593858004,0.005836273077875376,288
l2764403.1,0.005148162599653006,0.005829303525388241,288
l2973150.1,0.005146270152181387,0.0058458177372813225,288
l2820533.1,0.0051435986533761024,0.005837539676576853,288
l3254231.1,0.005143440328538418,0.005839579273015261,288
l3254230.1,0.005139721091836691,0.005842193961143494,288
l3066804.1,0.005139460787177086,0.005836873780936003,288
l2897784.2,0.005138752982020378,0.006069682072848082,288
l2897793.1,0.005138393025845289,0.005822064355015755,288
l2785538.1,0.005131084006279707,0.005824168678373098,288
l2897792.1,0.005117191467434168,0.005803266074508429,288
l3179608.3,0.00510006956756115,0.005837965290993452,288
l3197652.1,0.005098783876746893,0.005807879380881786,288
l2916620.1,0.005094619933515787,0.005770232994109392,288
l2748144.1,0.005092006642371416,0.005794098135083914,288
l3251854.1,0.005081749986857176,0.005744760390371084,288
l3139598.2,0.00507453503087163,0.006395525299012661,288
l3160114.1,0.005056286696344614,0.005740915425121784,288
l2766738.3,0.005055706482380629,0.005870516877621412,288
l2729424.1,0.005054645240306854,0.005737400613725185,288
l2748143.1,0.005049059167504311,0.005697042681276798,288
l2729423.3,0.005048694089055061,0.005869148299098015,288
l3104144.1,0.0050436886958777905,0.005729811266064644,288
l3008237.3,0.005031201522797346,0.00585903087630868,288
l3235242.3,0.0050170100294053555,0.005798553582280874,288
l3160098.1,0.0050121876411139965,0.005704099778085947,288
l3118855.3,0.005010346416383982,0.005833746399730444,288
l2897790.3,0.005009017884731293,0.00578900845721364,288
l2973148.1,0.004981034900993109,0.005668514873832464,288
l3231255.3,0.004978992976248264,0.005835855845361948,288
l2916602.1,0.004978805314749479,0.0056664906442165375,288
l2785511.1,0.004952855408191681,0.005601939745247364,288
l3010557.1,0.004925181623548269,0.005616992712020874,288
l3157167.1,0.0049208891578018665,0.005607552360743284,288
l2730107.3,0.004901972599327564,0.005707558710128069,288
l3157718.1,0.0048911175690591335,0.005585717502981424,288
l2955006.3,0.0048888083547353745,0.0056541780941188335,288
l2842330.3,0.0048854174092411995,0.005626841448247433,288
l0247171.2,0.004867944400757551,0.005717546679079533,288
l2935566.3,0.004858880303800106,0.005744066555052996,288
l2804277.3,0.0048251380212605,0.005656286142766476,288
l3097861.3,0.004822874907404184,0.005657450295984745,288
l3235945.3,0.004822502378374338,0.005632937885820866,288
l3141393.3,0.00482160272076726,0.005684260744601488,288
l3197625.3,0.004819284658879042,0.005655247718095779,288
l3048231.2,0.004803640767931938,0.0055443765595555305,288
l2916620.3,0.004787949845194817,0.005623967852443457,288
l2897780.2,0.00478626973927021,0.005729472264647484,288
l2897778.1,0.004783023148775101,0.005860279779881239,288
l3086002.3,0.0047787451185286045,0.00554897915571928,288
l2710519.1,0.004742084536701441,0.0057935407385230064,288
l3048201.2,0.00472645228728652,0.005729098338633776,288
l2860491.2,0.004722554236650467,0.00558709679171443,288
l2785527.1,0.0047225053422153,0.005744507070630789,288
l2860499.2,0.004721339326351881,0.005708121694624424,288
l3048210.1,0.004718414973467588,0.005774648394435644,288
l2991902.2,0.004712275229394436,0.005627203267067671,288
l2935559.1,0.0047079455107450485,0.005763673689216375,288
l2973164.1,0.004706522449851036,0.005808674264699221,288
l3104132.1,0.004702453501522541,0.005802734289318323,288
l3197645.1,0.004700262099504471,0.005684753879904747,288
l2766729.1,0.004698069766163826,0.005718503147363663,288
293471.1,0.004698064643889666,0.005743108689785004,288
l2710521.1,0.004696683958172798,0.005683416035026312,288
l2692600.3,0.004696423187851906,0.005561260972172022,288
l2991923.1,0.004695254378020763,0.005680514499545097,288
l3216370.1,0.004695183131843805,0.005735309328883886,288
l2804252.1,0.004695165436714888,0.005755826830863953,288
l2991919.1,0.00469405110925436,0.005707201547920704,288
l2748158.1,0.004692147020250559,0.005723815876990557,288
l3122823.2,0.004690220579504967,0.005619235802441835,288
l3048214.1,0.004687788430601358,0.00579399149864912,288
l3085400.3,0.004687634762376547,0.005477352067828178,288
l3195310.1,0.004685996100306511,0.005788099952042103,288
l2954339.2,0.0046858713030815125,0.005628319922834635,288
l3122825.1,0.00468425964936614,0.0057541923597455025,288
l3048211.1,0.004682592116296291,0.005695382133126259,288
l3104133.1,0.004680664278566837,0.005708790849894285,288
l2748130.2,0.0046799746342003345,0.005528435576707125,288
