node,mae_pu,rmse_pu,n_valid
l2897779.3,0.0051429918967187405,0.006350834388285875,288
l2916609.3,0.005072138737887144,0.006183483172208071,288
l2710510.3,0.005067706573754549,0.00630637351423502,288
293471.3,0.005066176876425743,0.006304366048425436,288
l3254215.3,0.005031712353229523,0.006129775196313858,288
l3085400.3,0.00501286843791604,0.006440107710659504,288
l3216370.3,0.005005564074963331,0.0062706973403692245,288
l2804261.3,0.004982479847967625,0.0062792617827653885,288
l2785518.3,0.004974332172423601,0.006203784141689539,288
l3254219.3,0.0049499329179525375,0.006339102517813444,288
l3197628.3,0.004949287045747042,0.006200471427291632,288
l2860492.3,0.00493798591196537,0.0061952294781804085,288
l2673346.3,0.004927305970340967,0.006335400510579348,288
l3104157.3,0.004887137562036514,0.006278051063418388,288
l3178997.3,0.004883372224867344,0.006284946575760841,288
l2766750.3,0.0048821549862623215,0.006278167944401503,288
l2991943.3,0.004881647881120443,0.006381663028150797,288
l3263051.3,0.004880640655755997,0.006177929230034351,288
l3048230.3,0.00487916637212038,0.006274858023971319,288
l3214055.3,0.004871432203799486,0.006255962420254946,288
l2841638.3,0.004864060319960117,0.006262234412133694,288
l3254205.3,0.004860629793256521,0.006283032242208719,288
l3104134.3,0.004853071644902229,0.006254446227103472,288
l2991921.3,0.004851980600506067,0.006284663453698158,288
l2841637.3,0.004844287876039743,0.0062920525670051575,288
l3178980.3,0.0048442562110722065,0.00618327409029007,288
l2766717.3,0.004840191453695297,0.006062401458621025,288
l3254220.3,0.0048277354799211025,0.0062312292866408825,288
l3254210.3,0.00481454050168395,0.006196967326104641,288
l3197637.3,0.004805003292858601,0.006254907231777906,288
l2785525.3,0.00479041738435626,0.006212905514985323,288
l2724120.3,0.004786564968526363,0.00621430017054081,288
l2991911.3,0.004784113727509975,0.0062570939771831036,288
l2860486.3,0.00478327414020896,0.006207692436873913,288
l3216347.3,0.004781510215252638,0.006241281982511282,288
l2841630.3,0.004781174939125776,0.006259657442569733,288
l2860487.3,0.004780731163918972,0.006234446074813604,288
l2973158.3,0.004767818842083216,0.006226267199963331,288
l2748133.3,0.004764111712574959,0.006119738332927227,288
l3235266.3,0.0047631473280489445,0.006166141480207443,288
l3085399.3,0.004751808010041714,0.006089985836297274,288
l2691951.3,0.004750097636133432,0.0062550208531320095,288
l2841629.3,0.004740576259791851,0.006200370844453573,288
l2954352.3,0.004737958777695894,0.006146140396595001,288
l2691945.3,0.00473363883793354,0.0060465773567557335,288
l2841626.3,0.004733507987111807,0.0061104088090360165,288
l3029503.3,0.004726672079414129,0.006017645820975304,288
l2972704.3,0.004720074590295553,0.0060874344781041145,288
l2841625.3,0.004714265000075102,0.006062375381588936,288
l2766718.3,0.004712813999503851,0.006215505301952362,288
l3122819.3,0.00471166055649519,0.006097564939409494,288
l3104126.3,0.004710215609520674,0.0060552493669092655,288
l2673309.3,0.0047102016396820545,0.006089324131608009,288
l3160105.3,0.0047100260853767395,0.006056943908333778,288
l3141388.3,0.004707857500761747,0.006078910082578659,288
l2879076.3,0.004703771322965622,0.006059671752154827,288
l3010566.3,0.004700751509517431,0.006038440857082605,288
l3178977.3,0.004700318910181522,0.0060293544083833694,288
l2954351.3,0.004699707962572575,0.006101525854319334,288
l3010567.3,0.004698545206338167,0.006017470732331276,288
l3626914.3,0.004697462543845177,0.006016870960593224,288
l3235251.3,0.004696083255112171,0.00602927478030324,288
l2785523.3,0.00469409441575408,0.0060734134167432785,288
l2727795.3,0.004693780094385147,0.006069663912057877,288
l2973144.3,0.004692811984568834,0.006047835573554039,288
l3141399.3,0.0046904669143259525,0.006127591710537672,288
l3010565.3,0.004689926281571388,0.00605661841109395,288
l3066801.3,0.004689441528171301,0.0060085817240178585,288
l2691950.3,0.004669062327593565,0.006103515159338713,288
l2785524.3,0.004660869482904673,0.006035882048308849,288
l2954350.3,0.004658137448132038,0.005992340389639139,288
l2897775.3,0.004657342564314604,0.0060139913111925125,288
l2897776.3,0.004647435154765844,0.00614607147872448,288
l2879073.3,0.004647384863346815,0.006009953562170267,288
l2879055.3,0.004633923526853323,0.006046069320291281,288
l2897784.2,0.004525880794972181,0.005441709887236357,288
l0247171.2,0.004509472753852606,0.005382913164794445,288
l3066804.1,0.004506058990955353,0.005511544644832611,288
l2748130.2,0.004500072915107012,0.005323365330696106,288
l2764403.1,0.004499661270529032,0.005595618858933449,288
l2860488.2,0.00449594110250473,0.005305552389472723,288
l3197643.2,0.00449291430413723,0.0053715831600129604,288
l3048231.2,0.004476664587855339,0.0053599015809595585,288
l3254212.2,0.0044595543295145035,0.005448020529001951,288
l3139598.2,0.004457592032849789,0.005359717644751072,288
l2785537.1,0.004446886014193296,0.0055938358418643475,288
l3122823.2,0.004442431498318911,0.0053125955164432526,288
l2860491.2,0.004438964184373617,0.005269324406981468,288
l2991918.2,0.004425037186592817,0.0053000859916210175,288
l2763072.2,0.004416409879922867,0.005334412679076195,288
l2710537.2,0.004404604434967041,0.005264787934720516,288
l3141390.2,0.004401605110615492,0.00532537279650569,288
l2897764.2,0.00440067145973444,0.005279178731143475,288
l2822859.2,0.004400197882205248,0.005277824122458696,288
l2673300.2,0.004399508703500032,0.0052069686353206635,288
l2973162.2,0.004395412281155586,0.0052980585023760796,288
l3235275.2,0.004393413662910461,0.0053229182958602905,288
l2991902.2,0.004391056951135397,0.005279215984046459,288
l3197654.1,0.004389563575387001,0.005491170566529036,288
l2973150.1,0.004384167026728392,0.005421535111963749,288
l2785511.1,0.004383953288197517,0.005365247372537851,288
l2991917.2,0.004381144884973764,0.0052456906996667385,288
l2954339.2,0.004379997029900551,0.005320928059518337,288
l3048201.2,0.004374850075691938,0.005350135732442141,288
l2859391.2,0.004372664727270603,0.005280919373035431,288
l2785528.2,0.004365516826510429,0.005235032178461552,288
l2879079.2,0.0043648602440953255,0.005237037781625986,288
l3048200.2,0.004361774306744337,0.005252995993942022,288
l3179699.2,0.0043607791885733604,0.0052186655811965466,288
l3029495.2,0.004359910264611244,0.005274202208966017,288
l2841636.2,0.004357005003839731,0.005196560639888048,288
l3119793.2,0.004354998003691435,0.0052406699396669865,288
l2973157.1,0.004354421515017748,0.005071660969406366,288
l3085388.2,0.004352999851107597,0.005240862723439932,288
l3216339.2,0.004352896474301815,0.005265005398541689,288
l3215340.1,0.0043512554839253426,0.0051086354069411755,288
l2748157.1,0.00435115210711956,0.005438381340354681,288
l2691959.2,0.0043410202488303185,0.005267320666462183,288
l2804247.2,0.004335078410804272,0.005245322827249765,288
l2916625.2,0.004333640448749065,0.005252323113381863,288
l3178981.2,0.004326472990214825,0.005198067054152489,288
l3085389.2,0.004326308146119118,0.005212866701185703,288
l3122849.2,0.004326075315475464,0.005253985989838839,288
l3082993.1,0.00432482548058033,0.005052749067544937,288
l3225319.2,0.004319676198065281,0.00524542760103941,288
l2897793.1,0.0043191611766815186,0.005392629187554121,288
l2820533.1,0.0043189069256186485,0.005395053885877132,288
l3214112.2,0.004316841717809439,0.0051593598909676075,288
l3254230.1,0.004315567668527365,0.005389566998928785,288
l3254231.1,0.004310941323637962,0.005388885270804167,288
l3066816.1,0.004309788811951876,0.005023328587412834,288
l3312692.1,0.004308907315135002,0.005036715883761644,288
l2748143.1,0.00430755689740181,0.005372116807848215,288
l3104115.2,0.0043075066059827805,0.005225230939686298,288
l2785538.1,0.004307294264435768,0.005373732652515173,288
l3104130.2,0.004307151772081852,0.005213217344135046,288
l2859403.1,0.004303930327296257,0.005625187419354916,288
l2897792.1,0.0043006958439946175,0.0053696781396865845,288
l2805036.2,0.004300541710108519,0.005167405586689711,288
l2973163.2,0.004299262072890997,0.0052596223540604115,288
l2916234.1,0.00429760105907917,0.005086817312985659,288
l3177894.1,0.0042972927913069725,0.004983978345990181,288
l2916620.1,0.0042950669303536415,0.005340804345905781,288
l2970811.1,0.004295004066079855,0.005006830208003521,288
l3235255.2,0.004290552344173193,0.005142007954418659,288
l3632979.1,0.004285101313143969,0.00502910278737545,288
l2748144.1,0.004282115027308464,0.005318853072822094,288
l2801895.2,0.004280725494027138,0.005224696360528469,288
l3254216.1,0.004278199281543493,0.0050111860036849976,288
l3029507.2,0.004277918487787247,0.005203728564083576,288
l3104144.1,0.00427680229768157,0.005321753676980734,288
l2786273.2,0.0042741019278764725,0.005188030190765858,288
l3216370.2,0.004267776384949684,0.005124787800014019,288
l3120504.1,0.004267614800482988,0.004975886084139347,288
l3120503.1,0.004266573116183281,0.004974528215825558,288
l3027132.1,0.004266323987394571,0.005066715646535158,288
l2710516.1,0.004265794530510902,0.004996728152036667,288
l2989571.1,0.004265398718416691,0.004972025286406279,288
l3008248.1,0.004263933282345533,0.004971351474523544,288
l3160114.1,0.004263333976268768,0.005313220899552107,288
l3189190.1,0.004262574017047882,0.005032066721469164,288
l2858175.1,0.004262358881533146,0.00497019849717617,288
l2785530.1,0.004262058530002832,0.004995229188352823,288
l0247162.2,0.004261949099600315,0.005142597481608391,288
l0247160.2,0.004261864814907312,0.00514249550178647,288
l3251807.1,0.0042610084637999535,0.004972795024514198,288
l3066818.2,0.0042608571238815784,0.005171584896743298,288
l2729424.1,0.004260634537786245,0.005312548018991947,288
l2766727.2,0.004259057343006134,0.005253789480775595,288
l3101788.1,0.004253971856087446,0.005021235905587673,288
l3139103.1,0.0042537301778793335,0.004993969574570656,288
l3172805.1,0.004253603518009186,0.0049859569407999516,288
l3226771.1,0.004251745995134115,0.005026460159569979,288
l2691942.2,0.004250379744917154,0.005152852740138769,288
l3254211.2,0.004249563440680504,0.005153770092874765,288
l2766726.2,0.004249533638358116,0.005147253628820181,288
l3216351.1,0.004249297082424164,0.004963436629623175,288
l2689678.2,0.004249212797731161,0.005123937968164682,288
l3251854.1,0.0042482283897697926,0.005294365342706442,288
293471.2,0.004247991368174553,0.005146186798810959,288
l2841620.2,0.004246980883181095,0.005132800433784723,288
l3197652.1,0.004245595075190067,0.005242243874818087,288
l2729407.2,0.00424512242898345,0.005131103564053774,288
l2785526.2,0.004243059083819389,0.005139476619660854,288
l2820556.1,0.0042386301793158054,0.005007683299481869,288
l2729427.2,0.004235167056322098,0.005014400463551283,288
l2691954.2,0.004231838509440422,0.005156544502824545,288
l3254238.2,0.004230573307722807,0.005129256285727024,288
l2841633.1,0.004229933023452759,0.0049987793900072575,288
l3085403.1,0.004229268990457058,0.004969695582985878,288
l3197629.2,0.004226831719279289,0.005103400908410549,288
l2879065.2,0.0042263176292181015,0.005105999764055014,288
l2785520.2,0.004226204007863998,0.005124128423631191,288
l3195327.1,0.004225695971399546,0.004966270178556442,288
l3160106.1,0.004223838448524475,0.004974121693521738,288
l3085397.2,0.004220759496092796,0.0050408970564603806,288
l3216350.1,0.004220250528305769,0.004942609462887049,288
l2973180.2,0.004219877999275923,0.005028884392231703,288
l2710518.1,0.004219802562147379,0.004948765970766544,288
l3216348.1,0.004216172732412815,0.004920655395835638,288
l3216346.1,0.004214827436953783,0.004931961186230183,288
l3104120.2,0.0042140185832977295,0.005099547561258078,288
l2691947.1,0.004213029518723488,0.004920026753097773,288
l3010563.1,0.0042112600058317184,0.004929088521748781,288
l2973151.1,0.0042065829038619995,0.005003327038139105,288
l3140238.1,0.00420561945065856,0.004930123221129179,288
l2766732.2,0.004204639233648777,0.005095707718282938,288
l2804260.2,0.004201920703053474,0.005136321298778057,288
l3141412.1,0.0042009977623820305,0.004973037634044886,288
l2691952.1,0.004199733957648277,0.004937467165291309,288
l3048203.2,0.0041986312717199326,0.004979148972779512,288
l3122822.1,0.004196737892925739,0.004916936159133911,288
l2710544.1,0.004196409601718187,0.004907853435724974,288
l3160104.2,0.004194312728941441,0.005114133935421705,288
l3160117.2,0.004194220062345266,0.005007570143789053,288
l2729405.2,0.004193813074380159,0.005042240023612976,288
l2915534.1,0.004192659165710211,0.004884480964392424,288
l2879066.2,0.00419228570535779,0.004969230853021145,288
l3029500.1,0.004191508516669273,0.0048974198289215565,288
l2860493.1,0.004191123880445957,0.004900570493191481,288
l3048221.1,0.004190904553979635,0.004929062910377979,288
l2748140.1,0.004189435858279467,0.004916474223136902,288
l2879075.1,0.0041887410916388035,0.004890634678304195,288
l2729423.3,0.004187909886240959,0.005351864732801914,288
l2916602.1,0.004187501966953278,0.0051710461266338825,288
l2952014.1,0.0041862912476062775,0.004939131438732147,288
l2973148.1,0.004185971338301897,0.005170952994376421,288
l2841627.1,0.004182922188192606,0.004880936350673437,288
l3160098.1,0.004181303549557924,0.005190742202103138,288
l3122825.1,0.004180339630693197,0.005075762514024973,288
l2821010.1,0.004178410395979881,0.004929665010422468,288
l3082992.1,0.004177347756922245,0.004875496029853821,288
l2673305.2,0.004176491405814886,0.005054872017353773,288
l3029520.2,0.004175100941210985,0.004943488631397486,288
l3235247.1,0.004174371715635061,0.004929558373987675,288
l3010585.1,0.004172962624579668,0.004967371933162212,288
l3254214.2,0.004171182867139578,0.005006091669201851,288
l2710517.1,0.004171178676187992,0.004870214965194464,288
l3143999.1,0.0041703153401613235,0.004900034982711077,288
l2954355.1,0.0041702259331941605,0.004852736368775368,288
l3215549.2,0.004169676452875137,0.005012542475014925,288
l2897780.2,0.004169365391135216,0.005168607924133539,288
l3104131.1,0.0041685025207698345,0.00502024544402957,288
l2673313.2,0.004168348386883736,0.00493497122079134,288
l3178978.1,0.0041670408099889755,0.0048727234825491905,288
l2691946.2,0.004165048245340586,0.005046815611422062,288
l3197647.1,0.004163887817412615,0.0049049812369048595,288
l2876812.1,0.00416359631344676,0.004871733952313662,288
l3122827.1,0.004163483157753944,0.004866108763962984,288
l2673317.1,0.0041617220267653465,0.004861225374042988,288
l3008237.3,0.004161495715379715,0.00535602867603302,288
l3251808.1,0.004160882905125618,0.004878818057477474,288
l2685805.1,0.004160602111369371,0.004879629705101252,288
l2860504.1,0.004159859381616116,0.004866165574640036,288
l3142078.2,0.0041596186347305775,0.005029743071645498,288
l2689691.1,0.004159550182521343,0.0048654451966285706,288
l2989432.2,0.004158929921686649,0.004962555132806301,288
l3066817.1,0.0041581131517887115,0.004881490953266621,288
l3178982.1,0.004156024195253849,0.004863020498305559,288
l2785516.2,0.004155429545789957,0.0050629377365112305,288
l2879081.1,0.0041544437408447266,0.004847148898988962,288
l3101789.1,0.004153430461883545,0.004860740154981613,288
l2710512.2,0.004153345245867968,0.005052156280726194,288
l2897805.1,0.0041517275385558605,0.004924440290778875,288
l2710505.2,0.0041510132141411304,0.004961615893989801,288
l3048196.2,0.004150712862610817,0.0050286781042814255,288
l3010557.1,0.004149838350713253,0.005107729695737362,288
l2814529.1,0.0041495272889733315,0.004877191036939621,288
l3122820.1,0.0041495091281831264,0.004848108626902103,288
l2879074.1,0.004143846221268177,0.004853611811995506,288
l3195318.2,0.004143708385527134,0.005004353821277618,288
l2766720.1,0.004142357036471367,0.004852832295000553,288
l3178976.1,0.004142094869166613,0.004839628003537655,288
l2841648.1,0.0041408902034163475,0.004838539753109217,288
l2729428.1,0.004140796139836311,0.0048461733385920525,288
l2858163.1,0.004140245262533426,0.004816712345927954,288
l2879752.2,0.004139733966439962,0.005005277693271637,288
l2766715.2,0.004138534888625145,0.004874477628618479,288
l2766742.2,0.004137464798986912,0.004889990668743849,288
l3101787.1,0.004135464318096638,0.004889066331088543,288
l3118855.3,0.004134530201554298,0.005273753777146339,288
l2876813.1,0.00413294555619359,0.004873582161962986,288
l2973169.1,0.004132120404392481,0.004834429360926151,288
l2766723.1,0.004129255656152964,0.004842392168939114,288
l3010562.2,0.0041282870806753635,0.004864755552262068,288
l2691944.1,0.004127677530050278,0.004785317461937666,288
l3727710.1,0.004127473570406437,0.004797933157533407,288
l3066821.1,0.004126977641135454,0.004860566463321447,288
l2710508.2,0.004125453531742096,0.004928861744701862,288
l3197639.1,0.0041247098706662655,0.004824187606573105,288
l2726983.1,0.004124677740037441,0.004804462194442749,288
l2673312.1,0.004124495666474104,0.004850419238209724,288
l2841623.1,0.0041233631782233715,0.004828653298318386,288
l3029510.2,0.004122888669371605,0.0049240728840231895,288
l3157718.1,0.00412270100787282,0.005062596872448921,288
l3141398.1,0.004122141283005476,0.004813064821064472,288
l3254207.1,0.0041214716620743275,0.004823463503271341,288
l3235244.1,0.004119955003261566,0.004830105695873499,288
l2804254.1,0.004119176417589188,0.004849669057875872,288
l2729414.1,0.004115210380405188,0.004836263135075569,288
l2973159.1,0.004113929346203804,0.0048118955455720425,288
l2879078.1,0.004112637136131525,0.004829314537346363,288
l3029183.2,0.004112573806196451,0.00493621826171875,288
l2673320.2,0.0041083768010139465,0.004952328745275736,288
l2748124.2,0.004107355140149593,0.004901820793747902,288
l2766738.3,0.004106426611542702,0.0052614109590649605,288
l2748132.1,0.004106147214770317,0.004813308361917734,288
l2860500.2,0.00410598935559392,0.004854684229940176,288
l3254213.2,0.0041053625755012035,0.0048779333010315895,288
l2822860.2,0.004104187246412039,0.0049516502767801285,288
l2785512.2,0.0041037797927856445,0.004920141771435738,288
l3120502.1,0.0041037374176084995,0.004836584907025099,288
l3216344.2,0.004102329257875681,0.004910131450742483,288
l2897790.3,0.004102016799151897,0.005235644988715649,288
l2897778.1,0.004101562779396772,0.005099763162434101,288
l2763153.1,0.004100056830793619,0.005034525878727436,288
l3233353.1,0.004099708516150713,0.004781989846378565,288
l3216123.1,0.004099661950021982,0.004830138757824898,288
l2690941.2,0.004099141340702772,0.004918528720736504,288
l3195315.1,0.004098532255738974,0.004948263056576252,288
l3065750.2,0.004097394645214081,0.00487850047647953,288
l3122815.2,0.004096498712897301,0.004908084403723478,288
l3197636.2,0.004095984622836113,0.0048897759988904,288
l3104136.2,0.004095664247870445,0.00482862489297986,288
l2766729.1,0.004095450509339571,0.005048336926847696,288
l3207907.1,0.004095298703759909,0.004792451858520508,288
l3235242.3,0.004094057250767946,0.005230811424553394,288
l2860483.2,0.00409390265122056,0.004861166700720787,288
l2822868.1,0.004093583207577467,0.004802866373211145,288
l3235258.1,0.004092952236533165,0.004802099894732237,288
l3027133.1,0.00409195339307189,0.0048691569827497005,288
l2897801.1,0.004091247450560331,0.004776414483785629,288
l3139086.2,0.004091206006705761,0.004895169287919998,288
l2766748.1,0.0040908134542405605,0.0048008388839662075,288
l3047058.1,0.004090346395969391,0.004848695360124111,288
l2804252.1,0.0040896059945225716,0.005102112423628569,288
l3178973.1,0.004088647663593292,0.0048687816597521305,288
l3048214.1,0.0040882667526602745,0.005119582172483206,288
l3231255.3,0.004087783396244049,0.005289419088512659,288
l3156034.1,0.00408597057685256,0.004766112193465233,288
l2841634.2,0.004085719585418701,0.004891687538474798,288
