node,mae_real_pu,mae_cvnn_pu,n_valid
l2954339.2,0.005022382363677025,0.004821571055799723,288
l3029495.2,0.005021935794502497,0.00482155941426754,288
l3085389.2,0.005021719262003899,0.004820684436708689,288
l3216339.2,0.005021403077989817,0.004822093993425369,288
l2801895.2,0.005021285731345415,0.004821388050913811,288
l2804247.2,0.005021234974265099,0.004821515176445246,288
l3048200.2,0.005020739510655403,0.004821870941668749,288
l3048201.2,0.005020425654947758,0.004821667447686195,288
l3104115.2,0.005019519943743944,0.00482149375602603,288
l2822859.2,0.0050194826908409595,0.004818964283913374,288
l3225319.2,0.005019184667617083,0.004821754060685635,288
l2673300.2,0.005018842406570911,0.004819401539862156,288
l2710537.2,0.005018226802349091,0.004819968715310097,288
l3085388.2,0.005018041469156742,0.004819120746105909,288
l3141390.2,0.0050168163143098354,0.004819024819880724,288
l2991918.2,0.0050159841775894165,0.004816392902284861,288
l2991902.2,0.00501596461981535,0.004817627370357513,288
l2860488.2,0.005014015827327967,0.004815848544239998,288
l2897764.2,0.005013739224523306,0.004816573578864336,288
l2804260.2,0.005004469770938158,0.00480968551710248,288
l2973163.2,0.005003686994314194,0.004807689227163792,288
l3104130.2,0.00499650277197361,0.0048018526285886765,288
l2763072.2,0.004995302297174931,0.004802710376679897,288
l2879079.2,0.004993317648768425,0.004799826070666313,288
l2991917.2,0.0049899304285645485,0.00479708518832922,288
l3197643.2,0.004987815394997597,0.004793400410562754,288
l2841636.2,0.004987155552953482,0.004794972483068705,288
l2766727.2,0.004986421205103397,0.004793176893144846,288
l3029507.2,0.004986106883734465,0.004793566185981035,288
l3122823.2,0.004985219798982143,0.004792578984051943,288
l2785526.2,0.004980402532964945,0.004789615981280804,288
l2766726.2,0.00498034106567502,0.0047895582392811775,288
l2973162.2,0.004976911004632711,0.004785092547535896,288
l3235275.2,0.004970160778611898,0.004779005888849497,288
l3122849.2,0.004962050821632147,0.004772635642439127,288
l2691954.2,0.0049601527862250805,0.004770718514919281,288
293471.2,0.004944587126374245,0.004755062982439995,288
l3254238.2,0.0049402182921767235,0.0047522056847810745,288
l3216370.2,0.004928703885525465,0.004741205833852291,288
l3235255.2,0.004927688278257847,0.004738754127174616,288
l2897780.2,0.004925029817968607,0.004737478215247393,288
l0247171.2,0.0049247113056480885,0.0047365110367536545,288
l3048231.2,0.004924355540424585,0.0047366563230752945,288
l0247162.2,0.0049240123480558395,0.00473603093996644,288
l2691959.2,0.0049237702041864395,0.004736845847219229,288
