node,mae_real_pu,mae_cvnn_pu,n_valid
l2764403.1,0.0049036284908652306,0.004561580717563629,288
l2785537.1,0.0049034710973501205,0.004561398644000292,288
l2748157.1,0.004903414286673069,0.004561656154692173,288
l2935559.1,0.004897455219179392,0.004512922838330269,288
l2804252.1,0.004896836820989847,0.004512744955718517,288
l3104132.1,0.004896770231425762,0.0045122141018509865,288
l3085402.1,0.004896639380604029,0.004512602463364601,288
l3048210.1,0.004896556958556175,0.004511918406933546,288
l3104131.1,0.004896403290331364,0.0045113032683730125,288
l3195310.1,0.0048963576555252075,0.004512832500040531,288
l3197654.1,0.004896086640655994,0.004557526204735041,288
l3048214.1,0.004895934835076332,0.0045128813944756985,288
l2897778.1,0.004895759746432304,0.004512053914368153,288
l2860489.1,0.004895756021142006,0.004511297680437565,288
l2973164.1,0.0048955404199659824,0.00451203528791666,288
l2804259.1,0.004894571844488382,0.004510214552283287,288
l3122824.1,0.004894512239843607,0.004510858096182346,288
l2991919.1,0.004894273821264505,0.004510183352977037,288
l2991920.1,0.004894259851425886,0.0045107100158929825,288
l3122825.1,0.00489333039149642,0.004510811995714903,288
l2729412.1,0.004892891272902489,0.004508703015744686,288
l3104135.1,0.004892235621809959,0.004510730504989624,288
l2748135.1,0.004891884047538042,0.004509151913225651,288
l3010570.1,0.004891747608780861,0.004509406629949808,288
l2763153.1,0.004885179456323385,0.00450183404609561,288
l3066804.1,0.004883894231170416,0.0045500644482672215,288
l3027116.1,0.004883590620011091,0.004499479196965694,288
293471.1,0.004883121233433485,0.004498185124248266,288
l3254230.1,0.0048829191364347935,0.0045503294095396996,288
l3254231.1,0.00488263601437211,0.004550001118332148,288
l2820533.1,0.004882016219198704,0.0045493063516914845,288
l3066819.1,0.00488194078207016,0.004494711756706238,288
l2973150.1,0.004881889559328556,0.004550207871943712,288
l2954354.1,0.004881762899458408,0.004494932945817709,288
l2897792.1,0.004881587345153093,0.0045491550117731094,288
l2785538.1,0.004881410859525204,0.004549717530608177,288
l2710519.1,0.004881286062300205,0.00449470616877079,288
l2897772.1,0.0048807659186422825,0.004494693595916033,288
l2897793.1,0.004880748689174652,0.004549593664705753,288
l3010569.1,0.0048804376274347305,0.004494437016546726,288
l2673321.1,0.004880344029515982,0.00449465773999691,288
l3029499.1,0.004879694897681475,0.0044941529631614685,288
l3216370.1,0.00487862853333354,0.004493260756134987,288
l3104133.1,0.004878334701061249,0.004494125489145517,288
l2766729.1,0.004878179170191288,0.004493013024330139,288
l2748158.1,0.004877922590821981,0.00449428940191865,288
l2785527.1,0.004877062514424324,0.004493008833378553,288
l3048211.1,0.004874028731137514,0.0044905031099915504,288
l2691953.1,0.004873799160122871,0.004490682855248451,288
l2860491.1,0.0048710354603827,0.004489852115511894,288
l2897781.1,0.004870900884270668,0.004489193204790354,288
l3197644.1,0.004870089236646891,0.004488898906856775,288
l2729411.1,0.004869978874921799,0.004489199258387089,288
l3122826.1,0.0048696547746658325,0.004489012993872166,288
l2916620.1,0.004869569558650255,0.004542151466012001,288
l2991922.1,0.004869038239121437,0.004487644415348768,288
l3197645.1,0.0048683686181902885,0.00448710797354579,288
l2991923.1,0.004868331830948591,0.004487086087465286,288
l2860490.1,0.0048651001416146755,0.004485131707042456,288
l3254218.1,0.004863904323428869,0.0044840192422270775,288
l3085396.1,0.004861078225076199,0.004481734707951546,288
l2710520.1,0.004859931766986847,0.004481477662920952,288
l2710521.1,0.004859555047005415,0.004481647629290819,288
l3122813.1,0.004859365988522768,0.004481715150177479,288
l3235256.1,0.004855316132307053,0.004477608948945999,288
l2748144.1,0.004850284196436405,0.004532085731625557,288
l3251854.1,0.004849129356443882,0.004533226136118174,288
l3197652.1,0.004849032498896122,0.004533169791102409,288
l3197630.1,0.00484861433506012,0.004473443143069744,288
l2729424.1,0.004848456010222435,0.004532327875494957,288
l2748143.1,0.004848199430853128,0.004532921593636274,288
l3160114.1,0.004847608041018248,0.0045325374230742455,288
l3104144.1,0.004847423173487186,0.0045328023843467236,288
l2804251.1,0.004841928835958242,0.0044684503227472305,288
l3085395.1,0.004838642198592424,0.0044655450619757175,288
l3048206.1,0.004830450285226107,0.004460347816348076,288
l3104113.1,0.0048236544243991375,0.004453300964087248,288
l3104121.1,0.004822884686291218,0.004453321453183889,288
l2916627.1,0.004822757560759783,0.004453711211681366,288
l2673310.1,0.004822450689971447,0.0044531854800879955,288
l3104122.1,0.004822251386940479,0.0044536711648106575,288
l2748146.1,0.004821941256523132,0.0044536348432302475,288
l2748129.1,0.004821665119379759,0.0044532660394907,288
l2804283.1,0.004820886068046093,0.004453420173376799,288
l3195315.1,0.004820798523724079,0.004453847650438547,288
l2785519.1,0.004820536356419325,0.0044531989842653275,288
l3010556.1,0.004820528440177441,0.004455765709280968,288
l2991913.1,0.004820387344807386,0.0044539147056639194,288
l2804253.1,0.004819929134100676,0.00445379177108407,288
l2973151.1,0.00481967581436038,0.0044534336775541306,288
l2879064.1,0.004818677436560392,0.004453709349036217,288
l3235253.1,0.004818284884095192,0.004453913774341345,288
l2991907.1,0.00481756404042244,0.004454377107322216,288
l3160098.1,0.0048024943098425865,0.004506305325776339,288
l2973148.1,0.0047970544546842575,0.004503515083342791,288
l2916602.1,0.004797035362571478,0.004503751173615456,288
l3048208.1,0.004790064413100481,0.004444350488483906,288
l2785511.1,0.004769236780703068,0.004489021375775337,288
l3157167.1,0.00476856529712677,0.004489278420805931,288
l3010557.1,0.004768540617078543,0.0044891806319355965,288
l3157718.1,0.004749688785523176,0.004479390103369951,288
l2897790.3,0.004709101747721434,0.0043921140022575855,288
l2729423.3,0.004708874970674515,0.004392312373965979,288
l3008237.3,0.004708721302449703,0.004392324481159449,288
l2935566.3,0.004708516877144575,0.00439182436093688,288
l2916620.3,0.004706941079348326,0.004376884084194899,288
l2766738.3,0.004705188795924187,0.004380118567496538,288
l3231255.3,0.004696211311966181,0.004380120430141687,288
l3118855.3,0.004694798961281776,0.004379898775368929,288
l3235242.3,0.004693811293691397,0.00437923613935709,288
l3141393.3,0.004693443421274424,0.00437900610268116,288
l3197625.3,0.0046797506511211395,0.004379904363304377,288
l3097861.3,0.004679571837186813,0.004379556979984045,288
l2804277.3,0.004679501056671143,0.004379758145660162,288
l2955006.3,0.004668477922677994,0.00437457300722599,288
l2692600.3,0.004668449983000755,0.004374442622065544,288
l3235945.3,0.004668056033551693,0.004373069386929274,288
l2842330.3,0.0046678814105689526,0.00437267916277051,288
l2730107.3,0.004667683504521847,0.004371007904410362,288
l3086002.3,0.004667411558330059,0.00437186099588871,288
l3179608.3,0.004667223896831274,0.004371319431811571,288
l2841632.2,0.004555268678814173,0.0044249240309000015,288
l2691967.2,0.004553208127617836,0.004439494572579861,288
l3216339.2,0.004549087956547737,0.004297414794564247,288
l3225319.2,0.004549009259790182,0.004297638777643442,288
l2954339.2,0.004548892378807068,0.004297979641705751,288
l2801895.2,0.004548817873001099,0.004297575447708368,288
l3048200.2,0.004548535216599703,0.004297507926821709,288
l3085389.2,0.004548506811261177,0.0042982567101716995,288
l2804247.2,0.004548451863229275,0.004297506529837847,288
l2897764.2,0.004548428580164909,0.004300836008042097,288
l2673300.2,0.0045484257861971855,0.004299132153391838,288
l3048201.2,0.00454841461032629,0.004297757521271706,288
l3104115.2,0.004548368975520134,0.004297744017094374,288
l2916620.2,0.004548335913568735,0.004439057782292366,288
l3141390.2,0.004548204597085714,0.004299192689359188,288
l3029495.2,0.004547941964119673,0.004297720734030008,288
l2991902.2,0.004547926131635904,0.004300269763916731,288
l2710537.2,0.004547860007733107,0.004298707470297813,288
l3085388.2,0.004547826945781708,0.004299279768019915,288
l2860488.2,0.004547751508653164,0.004301672335714102,288
l2822859.2,0.004547635093331337,0.004299310501664877,288
l2991918.2,0.004547614138573408,0.004301463253796101,288
l2804260.2,0.004546903073787689,0.004305650945752859,288
l2973163.2,0.004546730779111385,0.004306391347199678,288
l2763072.2,0.004546189680695534,0.004309019539505243,288
l2879079.2,0.004545268137007952,0.004310531076043844,288
l3104130.2,0.004545249044895172,0.004309934098273516,288
l2991917.2,0.004545079078525305,0.004311767406761646,288
l2841636.2,0.004544903989881277,0.00431269034743309,288
l3029507.2,0.0045444536954164505,0.004313172772526741,288
l3197643.2,0.004543947987258434,0.004313163924962282,288
l2766727.2,0.004543914459645748,0.004313019569963217,288
l3122823.2,0.004543742164969444,0.004313165321946144,288
l2785526.2,0.004543688613921404,0.0043141525238752365,288
l2766726.2,0.004543560557067394,0.004314056131988764,288
l2973162.2,0.004542442038655281,0.004315301775932312,288
l3235275.2,0.004541729111224413,0.0043158745393157005,288
l3122849.2,0.004540202207863331,0.004316152539104223,288
l2691954.2,0.0045399535447359085,0.004316562786698341,288
l2785534.2,0.004539584740996361,0.004431514535099268,288
l2691965.2,0.004539330955594778,0.004431566223502159,288
l2783231.2,0.004539062734693289,0.004430552013218403,288
l2820535.2,0.0045388503931462765,0.0044319056905806065,288
l3254227.2,0.00453830836340785,0.004427978303283453,288
l3254229.2,0.004538118839263916,0.004426153842359781,288
l3066814.2,0.004538052715361118,0.004430482164025307,288
l2673331.2,0.004537397995591164,0.004426723346114159,288
l2935567.2,0.004537333734333515,0.00442643603309989,288
l2804272.2,0.004537233151495457,0.00442680437117815,288
l3066826.2,0.004537141881883144,0.004425792954862118,288
l2860499.2,0.0045371344313025475,0.004426708910614252,288
293471.2,0.004537088330835104,0.004316733218729496,288
l2841641.2,0.0045369709841907024,0.004426997620612383,288
l3178988.2,0.004536899272352457,0.004426338244229555,288
l3160115.2,0.0045368545688688755,0.004426406696438789,288
l2710530.2,0.004536824766546488,0.004425854422152042,288
l3176660.2,0.004536774009466171,0.004425077233463526,288
l2822873.2,0.004536737687885761,0.004426201805472374,288
l2785536.2,0.004536548163741827,0.004425978288054466,288
l3254238.2,0.004536155145615339,0.00431711645796895,288
l2691966.2,0.004535955842584372,0.004423328209668398,288
l3085410.2,0.004535945598036051,0.004426596686244011,288
l2804270.2,0.004535238724201918,0.00441912142559886,288
l3122835.2,0.0045350356958806515,0.004417401738464832,288
l3235273.2,0.00453501520678401,0.004420214798301458,288
l3082983.2,0.004534973297268152,0.0044197519309818745,288
l2973171.2,0.004534909501671791,0.004420654848217964,288
l2801902.2,0.004534545354545116,0.004417143762111664,288
l3102793.2,0.004534467589110136,0.004414279479533434,288
l3216370.2,0.00453414348885417,0.004318087361752987,288
l3104145.2,0.004533933475613594,0.004419092554599047,288
l2916617.2,0.004533903673291206,0.004414423368871212,288
l2916619.2,0.004533718805760145,0.004414090886712074,288
l2991929.2,0.0045336647890508175,0.004414524883031845,288
l2726974.2,0.004533488303422928,0.00440923310816288,288
l2804269.2,0.00453347060829401,0.004409497138112783,288
l2897780.2,0.004533370956778526,0.004318678751587868,288
l2916618.2,0.004533184692263603,0.00440920889377594,288
l3160113.2,0.004532961640506983,0.004409485496580601,288
l2954361.2,0.004532905761152506,0.004408913664519787,288
l2860491.2,0.00453255046159029,0.00432002916932106,288
l2897791.2,0.0045325374230742455,0.004408091306686401,288
l3235255.2,0.004532418213784695,0.004318714141845703,288
l2935547.2,0.004532321356236935,0.004408951848745346,288
l3197653.2,0.004532301798462868,0.004407621920108795,288
l2989564.2,0.00453221658244729,0.004409256856888533,288
l2897789.2,0.004532087128609419,0.0044095623306930065,288
l2897784.2,0.004531869664788246,0.004314973019063473,288
l2785535.2,0.004531849641352892,0.004407605621963739,288
l3048231.2,0.004531415645033121,0.004315073136240244,288
l3254228.2,0.004531374201178551,0.004408653359860182,288
l2691959.2,0.004531239625066519,0.0043145171366631985,288
l2766732.2,0.004531173035502434,0.0043148258700966835,288
l0247171.2,0.0045310696586966515,0.004314703401178122,288
l0247162.2,0.0045310333371162415,0.004315169528126717,288
l0247160.2,0.0045308563858270645,0.004315212834626436,288
l2689678.2,0.004530837293714285,0.0043159048072993755,288
l2729407.2,0.0045308000408113,0.004317411221563816,288
l3197629.2,0.00453073950484395,0.004316113889217377,288
