sample_id,node,q_nominal_kvar,q_realized_kvar
0,844.1,100.0,104.77336471247561
0,844.2,100.0,104.77336471247561
0,844.3,100.0,104.77336471247561
0,848.1,150.0,157.28351310510484
0,848.2,150.0,157.28351310510484
0,848.3,150.0,157.28351310510484
1,844.1,100.0,99.52024269057893
1,844.2,100.0,99.52024269057893
1,844.3,100.0,99.52024269057893
1,848.1,150.0,149.36166768817807
1,848.2,150.0,149.36166768817807
1,848.3,150.0,149.36166768817807
2,844.1,100.0,104.30741833266903
2,844.2,100.0,104.30741833266903
2,844.3,100.0,104.30741833266903
2,848.1,150.0,156.58268782014912
2,848.2,150.0,156.58268782014912
2,848.3,150.0,156.58268782014912
3,844.1,100.0,105.10083045786511
3,844.2,100.0,105.10083045786511
3,844.3,100.0,105.10083045786511
3,848.1,150.0,157.77607964867988
3,848.2,150.0,157.77607964867988
3,848.3,150.0,157.77607964867988
4,844.1,100.0,102.24668823038682
4,844.2,100.0,102.24668823038682
4,844.3,100.0,102.24668823038682
4,848.1,150.0,153.4834609422351
4,848.2,150.0,153.4834609422351
4,848.3,150.0,153.4834609422351
5,844.1,100.0,104.31720694790316
5,844.2,100.0,104.31720694790316
5,844.3,100.0,104.31720694790316
5,848.1,150.0,156.5975541770689
5,848.2,150.0,156.5975541770689
5,848.3,150.0,156.5975541770689
6,844.1,100.0,106.21539507506145
6,844.2,100.0,106.21539507506145
6,844.3,100.0,106.21539507506145
6,848.1,150.0,159.43095679774828
6,848.2,150.0,159.43095679774828
6,848.3,150.0,159.43095679774828
7,844.1,100.0,108.69885321420509
7,844.2,100.0,108.69885321420509
7,844.3,100.0,108.69885321420509
7,848.1,150.0,163.16601132923282
7,848.2,150.0,163.16601132923282
7,848.3,150.0,163.16601132923282
8,844.1,100.0,97.00526080522796
8,844.2,100.0,97.00526080522796
8,844.3,100.0,97.00526080522796
8,848.1,150.0,145.59252179808112
8,848.2,150.0,145.59252179808112
8,848.3,150.0,145.59252179808112
9,844.1,100.0,101.00551921981162
9,844.2,100.0,101.00551921981162
9,844.3,100.0,101.00551921981162
9,848.1,150.0,151.59554378586458
9,848.2,150.0,151.59554378586458
9,848.3,150.0,151.59554378586458
