t_index,t_minutes,p_load_kw_set_total,q_load_kvar_set_total,p_pv_pmpp_kw_set_total
0,0,1437.1463169099336,828.2880610342934,1030.969519377119
1,5,1357.7931925751957,853.5610190957793,1044.427209733699
2,10,1390.712464364917,852.5290861620099,980.4995638585972
3,15,1434.8502859475784,848.9409476542386,1040.199997277119
4,20,1395.3964205701036,820.819396917838,997.9442728467253
5,25,1402.7976102363027,834.0586800955845,950.5117581169623
6,30,1417.033848961454,854.2087737009465,1008.1052626800786
7,35,1405.5806664331812,814.3585305069714,1002.2584557461598
8,40,1435.0848126401925,836.5633503149943,1024.6689643635514
9,45,1435.0359279571687,831.3392916698249,985.4036703227399
10,50,1445.9451055196432,828.1680733248367,1042.8789687428527
11,55,1460.1907910905072,825.3950826939571,980.8871300091599
12,60,1429.2976691241038,815.4050993472673,1020.557403702991
13,65,1389.416625961067,849.2915609578512,933.8217418933
14,70,1417.4283721934908,830.7700254200303,1015.4605145541286
15,75,1392.174276420984,825.0906126307071,998.0963371279862
16,80,1396.4185753334086,862.5718482378271,987.0258423302465
17,85,1482.5231016979515,819.8077408003251,1045.4901026289124
18,90,1446.2609562220985,847.2923385248176,1010.3815373961061
19,95,1395.5766835998797,833.9979103549572,1029.409572287032
20,100,1381.6423401947454,809.2504956237224,1028.5117350199664
21,105,1417.108532115916,812.2171499137683,997.2908569356659
22,110,1414.137436075295,830.2031605248504,1046.048728929637
23,115,1423.2803599563827,824.819486358603,1062.1306882536564
24,120,1393.0389012948444,845.0213130125005,1032.8886299174349
25,125,1448.6478662223622,821.3124189687485,948.1950082978542
26,130,1423.9266973062886,838.8242576108422,983.1584016335154
27,135,1466.2115316038241,831.9908980708678,966.6965941819903
28,140,1426.3191230457237,822.4856106549822,1072.4587427317158
29,145,1457.6522478230147,834.5472680853446,1035.263319959559
30,150,1399.491984653337,842.7165800869903,954.5256575098496
31,155,1391.1654720903568,821.0109356620687,1010.6252095818775
32,160,1455.6106796483318,836.6259707883546,1056.0029497424316
33,165,1392.856745638708,847.0511740969039,975.7801304269681
34,170,1409.8202531735678,848.1101956995525,1008.2688471482961
35,175,1415.6072450485287,838.1725145984367,967.733749392437
36,180,1446.0329073550502,830.4862679230856,960.8267058965154
37,185,1470.1577800646523,848.4026656941612,1084.1783896530515
38,190,1399.3329878704299,833.159415679391,994.8368266323682
39,195,1352.317630257517,813.3478672984133,1085.8017057992392
40,200,1426.598125981936,833.6472263372253,947.4855115323453
41,205,1391.8878606262012,794.4217587962529,1059.3217118284506
42,210,1373.2655381225848,817.8681199263266,1032.2640843885192
43,215,1385.4715479498261,840.5268815836349,944.5957382035148
44,220,1404.4100865999455,822.8894670956711,972.8965248237391
45,225,1466.2773740829086,833.3102966954091,1040.3474536339975
46,230,1406.1523584540635,824.145874966799,1002.8137677388702
47,235,1418.4582412048596,807.3684424733158,976.7224394562647
48,240,1428.0781235380798,823.1184376424558,909.0030329001942
49,245,1371.369947615909,831.7748964329663,1040.1331837958078
50,250,1438.7679580405534,847.7973151408282,1022.1735187298561
51,255,1404.391312316346,840.7188035480136,960.1256748070383
52,260,1407.346910034118,848.9908973843559,1012.6707696446608
53,265,1384.9934443601585,843.9569482170742,1045.5934753893862
54,270,1409.7860362487227,860.649435424232,1049.9816601589587
55,275,1418.7219188629724,857.5924498031155,1007.2764887871514
56,280,1420.4603511166508,836.7387680115822,994.6243317364319
57,285,1431.2710031581041,839.8853696361094,923.7656978757279
58,290,1449.2202853451015,858.3656661982812,1026.1055915062032
59,295,1416.8934825264432,800.9567004440919,1019.4044334284005
60,300,1420.9511959680149,829.3762202150707,1029.977176787052
61,305,1439.0105047759184,843.3446368613165,988.2391240607105
62,310,1406.0372927803614,816.3183636592528,974.364985309521
63,315,1407.8052688582954,847.3908636911332,1053.6659562610225
64,320,1414.5885178345377,843.6145540526638,991.4330893727224
65,325,1404.9750965522703,854.2775765906201,1000.9318515955925
66,330,1411.0299457484205,827.5552050867582,1059.9128485339809
67,335,1388.1214210018618,875.8056867114569,1008.9809619636044
